"Joint
Number
",wheel,type,WT,"ID/
OD
",hours,minutes,degrees,DTDC,depth,length,width
67,2471.7,MLOS,0.25,E,6,45,202.5,-157.5,21,2.3,2.03
70,2521.508,MLOS,0.25,E,5,20,160,160,19,0.8,0.8
70,2547.683,MLOS,0.25,E,7,0,210,-150,21,4.4,1.77
82,3119.6,MLOS,0.25,E,5,35,167.5,167.5,21,3.4,1.87
85,3233.608,MLOS,0.25,E,5,10,155,155,19,1.8,2.53
85,3233.892,MLOS,0.25,E,5,10,155,155,18,2.1,8.86
85,3237.258,MLOS,0.25,E,5,40,170,170,18,1.2,1.6
85,3240.192,MLOS,0.25,E,6,40,200,-160,28,0.7,0.7
88,3385.933,MLOS,0.25,I,2,0,60,60,23,0.5,0.6
90,3531.908,MLOS,0.25,E,6,50,205,-155,28,4.8,3.54
90,3532.242,MLOS,0.25,E,6,0,180,180,18,2,2.43
91,3569.325,MLOS,0.25,E,10,30,315,-45,30,0.8,1
91,3570.958,MLOS,0.25,E,6,25,192.5,-167.5,20,1.6,3.54
91,3572.842,MLOS,0.25,E,7,5,212.5,-147.5,30,1.6,0.91
94,3666.067,MLOS,0.25,E,6,40,200,-160,35,4,1.16
99,3955.108,MLOS,0.25,E,6,40,200,-160,19,0.8,1.37
99,3955.292,MLOS,0.25,E,6,40,200,-160,18,0.2,0.5
99,3959.625,MLOS,0.25,E,6,25,192.5,-167.5,18,0.8,1
103,4020.308,MLOS,0.25,E,6,40,200,-160,21,9.6,4.91
103,4020.7,MLOS,0.25,E,7,20,220,-140,27,2.1,3.29
103,4023.175,MLOS,0.25,E,6,25,192.5,-167.5,23,1.6,2.79
103,4037.742,MLOS,0.25,E,7,0,210,-150,26,0.7,3.6
103,4038.25,MLOS,0.25,E,6,55,207.5,-152.5,28,4.7,2.38
103,4038.475,MLOS,0.25,E,7,5,212.5,-147.5,26,1.2,1.92
103,4038.633,MLOS,0.25,E,6,45,202.5,-157.5,20,0.8,1.3
107,4140.508,MLOS,0.25,E,8,50,265,-95,18,0.4,0.7
121,4851.533,MLOS,0.25,I,8,30,255,-105,20,0.7,1.5
177,7123.092,MLOS,0.25,I,8,15,247.5,-112.5,23,1.3,1.1
178,7182.817,MLOS,0.25,E,6,10,185,-175,21,0.5,0.6
178,7183.367,MLOS,0.25,E,6,5,182.5,-177.5,24,3.4,2.03
179,7191.092,MLOS,0.25,E,6,10,185,-175,18,0.7,0.7
179,7191.758,MLOS,0.25,E,5,55,177.5,177.5,20,0.5,0.6
179,7193.775,MLOS,0.25,E,5,50,175,175,21,1.5,0.86
179,7194.092,MLOS,0.25,E,5,50,175,175,18,1.8,1.32
179,7194.425,MLOS,0.25,E,5,50,175,175,21,1.2,1.62
179,7198.258,MLOS,0.25,E,6,5,182.5,-177.5,19,0.5,0.5
