Item No.,wheel,dist_US_weld,degrees,INT_EXT,depth,length,width,Dia
787,20636.57,21.16,99.5,Ext,15,0.294,1.008,22
790,20662.49,0.63,100.75,Ext,10,7.63,37.462,22
791,20681.28,19.42,88.75,Ext,15,1.272,3.408,22
792,20692.15,30.3,59,Ext,5,0.353,0.792,22
793,20695.05,33.19,43.25,Ext,10,0.353,0.48,22
794,20695.99,34.13,118.5,Ext,6,4.696,10.104,22
795,20696.05,34.19,59.75,Ext,8,4.344,6.072,22
796,20696.42,34.56,84,Ext,7,1.174,7.488,22
797,20696.59,34.73,129.5,Ext,6,6.691,5.328,22
798,20700.65,38.79,62.75,Ext,13,42.376,41.35,22
800,20735.23,33.61,55.75,Ext,6,0.353,1.224,22
801,20735.38,33.76,104.5,Ext,20,1.409,1.704,22
802,20735.5,33.89,52.75,Ext,10,0.353,0.672,22
803,20736.96,35.35,67.75,Ext,13,2.348,3.168,22
824,21404.03,25.91,170.25,Ext,11,0.392,0.72,22
827,21489.91,32.27,91.25,Ext,13,0.392,0.864,22
834,21637.72,12.28,169.75,Ext,7,0.47,0.672,22
853,22190.83,22.41,101.5,Ext,14,1.174,4.344,22
854,22192.19,23.77,71.5,Ext,18,46.68,35.83,22
855,22195.22,26.8,118,Ext,15,0.822,3.648,22
884,23069.98,5.67,92.5,Ext,15,0.294,0.84,22
885,23071.13,6.82,96.75,Ext,25,1.272,6.288,22
886,23082.93,18.63,86.25,Ext,7,0.392,0.96,22
888,23113.91,9.89,108.5,Ext,10,44.841,30.094,22
892,23254.04,30.93,17.5,Ext,6,0.392,0.792,22
902,23545.04,4.33,176.25,Ext,19,0.353,0.936,22
912,23858.96,0.97,92.5,Ext,15,1.272,3.84,22
914,23929.93,32.18,125.25,Ext,19,0.587,1.056,22
929,24403.35,0.42,90.75,Ext,10,4.402,3.648,22
941,24879.51,39.6,84.75,Ext,13,8.922,4.632,22
958,25434.78,38.61,77.25,Ext,13,2.348,1.488,22
964,25612.06,17.16,65.25,Ext,10,0.294,0.84,22
970,25823.28,29.58,110,Ext,18,1.37,3.384,22
971,25824.34,30.65,97,Ext,18,0.294,1.008,22
976,25962.34,9.51,82.25,Ext,6,1.409,3.384,22
977,25967.68,14.85,90.5,Ext,9,0.587,2.184,22
978,25970.63,17.8,83,Ext,10,0.49,2.424,22
979,25971.74,18.9,84.25,Ext,10,1.409,3.624,22
983,26090.9,18.8,88.75,Ext,17,0.979,2.88,22
984,26099.25,27.15,87.25,Ext,10,0.685,1.224,22
985,26099.53,27.43,97.25,Ext,10,1.663,2.736,22
986,26105.47,33.37,90.25,Ext,7,0.294,0.888,22
987,26106.12,34.02,78.75,Ext,15,2.153,8.208,22
990,26159.87,8.32,90.25,Ext,7,1.957,2.688,22
992,26199.22,7.97,95.75,Ext,32,4.794,4.632,22
993,26204.4,13.15,95.75,Ext,29,3.326,6.072,22
994,26204.84,13.58,95.75,Ext,10,0.979,3.84,22
995,26205.71,14.46,90,Ext,14,1.37,2.232,22
996,26209.19,17.94,85,Ext,18,0.294,1.056,22
997,26225.81,34.56,89.25,Ext,10,0.881,1.488,22
998,26230.14,38.89,90.25,Ext,25,5.87,3.384,22
999,26230.56,39.31,87,Ext,22,2.25,3.864,22
1001,26234.31,3.27,90.25,Ext,14,0.235,0.528,22
1002,26234.71,3.67,95.75,Ext,10,2.642,4.32,22
1003,26237.39,6.35,88.25,Ext,11,1.077,3.168,22
1004,26251.42,20.39,134,Ext,10,0.49,2.184,22
1006,26308.6,38.27,90,Ext,15,0.294,0.696,22
1008,26316.98,6.91,84.25,Ext,7,0.47,1.512,22
1009,26347.23,37.17,80.75,Ext,13,0.822,2.424,22
1010,26348.97,38.91,86.5,Ext,6,0.94,1.752,22
1012,26354.99,5.19,83.5,Ext,10,1.37,1.248,22
1013,26361.91,12.11,82.25,Ext,5,0.196,0.576,22
1015,26390.96,1.32,71.75,Ext,8,0.49,0.984,22
1016,26393.88,4.25,91,Ext,10,0.196,0.624,22
1017,26419.19,29.56,83.25,Ext,4,1.174,2.688,22
1018,26419.51,29.87,86.25,Ext,6,1.644,3.384,22
1020,26436.71,7.28,87.5,Ext,5,3.326,2.928,22
1021,26437.41,7.98,88.25,Ext,5,0.196,0.552,22
1022,26445.81,16.39,86.25,Ext,5,4.892,3.384,22
1023,26447.18,17.76,87.5,Ext,5,2.25,3.408,22
1024,26448.56,19.13,83.25,Ext,3,0.294,0.744,22
1025,26449.27,19.84,80,Ext,10,0.392,1.944,22
1026,26459.84,30.42,76,Ext,5,2.544,4.272,22
1027,26460.98,31.56,89.25,Ext,5,0.685,2.712,22
1028,26462.43,33,93.5,Ext,6,0.685,2.448,22
1029,26462.61,33.19,92.25,Ext,6,0.294,0.528,22
1030,26463.55,34.13,80.5,Ext,6,0.196,0.528,22
1031,26464.32,34.89,80,Ext,8,2.153,4.848,22
1032,26464.86,35.44,78.75,Ext,10,0.685,3.12,22
1034,26473.08,3.88,80.5,Ext,7,0.294,1.944,22
1035,26480.7,11.5,88.25,Ext,10,1.077,1.2,22
1036,26485,15.8,86.25,Ext,8,3.229,4.128,22
1037,26486.31,17.11,91.25,Ext,10,1.272,1.584,22
1038,26487.47,18.27,84.5,Ext,8,0.294,0.552,22
1039,26490.36,21.16,82,Ext,15,0.685,4.368,22
1041,26510.82,1.76,86.5,Ext,7,5.048,4.608,22
1042,26518.99,9.93,92.5,Ext,10,0.294,0.696,22
1043,26522.8,13.74,80.75,Ext,10,7.435,10.152,22
1044,26523.49,14.43,70.25,Ext,15,6.946,8.208,22
1045,26525.95,16.89,82,Ext,12,12.13,5.04,22
1046,26532.72,23.66,85,Ext,13,0.196,0.912,22
1047,26532.9,23.84,82,Ext,15,0.979,2.208,22
1048,26537.09,28.03,108.25,Ext,5,0.294,0.528,22
1049,26542.07,33.01,86.75,Ext,12,0.196,0.936,22
1050,26544.14,35.08,91.75,Ext,19,0.49,1.68,22
1052,26586.57,37.73,89,Ext,13,8.707,9.384,22
1053,26588.19,39.34,87.75,Ext,13,0.294,0.84,22
1055,26594.29,5.63,128,Ext,8,0.294,0.696,22
1056,26597.56,8.91,126,Ext,18,0.196,0.552,22
1059,26668.99,0.88,95.5,Ext,7,0.235,1.224,22
1060,26669.26,1.15,81,Ext,24,0.47,1.704,22
1061,26670.44,2.33,86.75,Ext,19,0.47,1.44,22
1062,26680.32,12.21,88,Ext,10,1.37,1.704,22
1063,26680.66,12.55,88,Ext,8,0.392,2.04,22
1064,26690.93,22.82,86.75,Ext,5,0.685,1.728,22
1065,26696.13,28.02,88.5,Ext,20,1.761,5.592,22
1066,26697.41,29.3,88.25,Ext,15,2.837,1.704,22
1067,26701.03,32.92,91.75,Ext,12,2.055,3.384,22
1069,26722.4,14.42,86.25,Ext,11,0.783,2.664,22
1070,26727.2,19.22,71,Ext,6,0.685,3.144,22
1071,26735.14,27.16,80.75,Ext,10,0.587,2.208,22
1072,26735.22,27.24,92.75,Ext,15,0.783,1.728,22
1073,26736.58,28.61,80.75,Ext,10,0.196,0.72,22
1075,26755.09,7.3,84,Ext,10,1.468,2.184,22
1076,26762.09,14.3,75.75,Ext,6,1.37,6.24,22
1077,26770.71,22.92,76.5,Ext,10,1.174,1.2,22
1078,26771.75,23.96,68.5,Ext,16,1.663,2.184,22
