Item No.,wheel,dist_US_weld,degrees,INT_EXT,depth,length,width,Dia
4263,97886.5,34.52,112.25,Ext,3,0.196,0.917,24
4264,97886.85,34.87,144.75,Ext,11,0.392,0.707,24
4265,97888.75,36.77,94.75,Ext,8,0.392,0.786,24
4266,97889.27,37.29,94.25,Ext,17,0.392,1.022,24
4267,97889.48,37.5,74.75,Ext,10,0.49,0.812,24
4268,97889.75,37.77,98.5,Ext,5,0.881,1.624,24
4271,97892.2,1.25,99.75,Ext,8,0.294,0.864,24
4272,97893.18,2.23,72.25,Ext,7,0.294,0.838,24
4273,97894.01,3.06,64.75,Ext,17,0.392,0.76,24
4274,97895.36,4.41,87.25,Ext,18,0.392,0.838,24
4276,97932.67,2.74,84,Ext,10,0.392,0.891,24
4277,97932.86,2.93,85.75,Ext,14,0.587,0.917,24
4278,97937.42,7.49,107.75,Ext,15,5.283,5.001,24
4279,97943.27,13.34,77,Ext,14,0.587,0.917,24
4294,98446.27,26.67,66.5,Ext,12,0.294,0.943,24
4318,99289.14,14.62,62.75,Ext,15,4.794,3.954,24
4484,103229.89,19.82,50.25,Ext,28,0.587,1.676,24
4501,103729.59,38.82,63.25,Ext,11,0.49,2.043,24
4518,104323.78,38.78,120.75,Ext,15,1.566,1.597,24
4539,104856.25,24.49,82.5,Ext,13,2.446,5.616,22
4540,104866.46,34.71,85,Ext,9,1.859,12.936,22
4541,104869.3,37.54,82,Ext,10,1.663,9.12,22
4553,105125.93,15.46,88.75,Ext,8,0.587,1.584,22
4557,105262.16,32.25,86.75,Ext,24,0.392,1.008,22
4560,105325.12,15.46,87.5,Ext,10,3.815,5.544,22
4565,105486.83,17.91,83,Ext,18,0.294,1.104,22
4567,105519.59,10.77,126.75,Ext,10,0.294,0.72,22
4571,105637.33,9.14,123,Ext,6,0.881,2.928,22
4572,105637.84,9.66,124.25,Ext,5,4.5,1.752,22
4573,105638.08,9.89,124.25,Ext,5,1.663,4.104,22
4574,105638.37,10.18,128,Ext,8,7.239,3.672,22
4575,105639.43,11.24,125,Ext,5,0.196,0.936,22
4576,105639.66,11.47,125.5,Ext,6,3.913,2.448,22
4577,105641.55,13.36,85,Ext,13,6.163,2.928,22
4578,105643.21,15.02,124.25,Ext,6,5.283,1.704,22
4584,105745.03,37.31,48.25,Int,9,5.576,11.016,22
4587,105796.39,8.99,100.5,Ext,15,1.077,4.848,22
4589,105834.84,7.59,81.75,Ext,8,0.392,1.008,22
4591,105895.55,28.54,87.5,Ext,15,5.478,1.728,22
4596,106064.93,38.75,164,Int,8,5.283,3.912,22
4598,106067.71,1.76,101.5,Int,5,11.035,6.048,22
4600,106107.12,1.4,87,Ext,6,0.822,2.328,22
4603,106221.14,35.78,112.75,Ext,3,0.587,1.944,22
4604,106222.19,36.83,114.75,Ext,4,4.402,2.208,22
4605,106222.7,37.34,59.25,Ext,5,3.033,2.208,22
4606,106223.03,37.67,111,Ext,10,9.489,3.096,22
4607,106224.01,38.65,111,Ext,9,15.006,4.344,22
4609,106227.87,2.75,78,Ext,10,12.561,7.992,22
4613,106352,11.61,88.75,Ext,7,0.587,0.864,22
4618,106469.24,9.56,85.75,Ext,7,5.87,26.135,22
4625,106663.19,4.42,152.75,Ext,12,1.057,3.192,22
4627,106667.43,8.65,47.25,Ext,6,0.47,0.84,22
4628,106667.46,8.68,77.75,Ext,16,0.94,17.399,22
4634,106829.3,11.34,90.5,Ext,12,1.272,2.928,22
4637,106905.06,7.55,94,Ext,10,5.968,7.464,22
4641,107016.17,39.06,143.5,Int,10,3.17,7.56,22
4643,107023.05,6.14,91.25,Ext,5,2.113,5.232,22
4647,107141.58,5.3,139.5,Ext,23,0.587,1.104,22
4648,107141.79,5.5,112.5,Ext,5,0.705,6.24,22
4649,107141.81,5.52,70,Ext,24,1.409,9.096,22
4650,107144.87,8.58,83.75,Ext,12,7.865,8.688,22
4653,107221.04,5.16,55.25,Ext,12,0.587,3.456,22
4654,107223.98,8.09,89,Ext,10,4.011,6.336,22
4659,107406.49,31.34,96,Ext,10,0.587,1.536,22
4667,107630.1,16.32,89.5,Ext,17,0.587,3.408,22
4670,107698.3,4.94,88.75,Ext,13,0.392,1.272,22
4672,107737.77,4.7,89.5,Ext,4,6.065,3.576,22
4675,107780.52,7.73,89.25,Ext,6,0.49,1.704,22
4684,108068.65,17.58,86.75,Ext,10,1.566,5.544,22
4685,108072.67,21.6,86.75,Ext,14,0.392,0.792,22
4688,108139.57,9.05,88.25,Ext,9,0.49,1.104,22
4691,108215.41,5.31,84.25,Ext,22,1.761,2.16,22
4694,108316.28,26.8,101.5,Ext,17,1.272,2.448,22
4695,108316.43,26.95,90.25,Ext,10,1.272,2.4,22
4697,108342.44,13.17,86.75,Ext,7,1.37,3.408,22
4699,108390.28,21.3,75.5,Ext,23,0.979,4.344,22
4701,108418.46,9.7,77,Ext,7,0.685,2.184,22
4702,108441.65,32.89,104,Ext,15,1.468,5.352,22
4704,108442.69,33.93,86.5,Ext,17,2.348,2.16,22
4705,108444.16,35.4,106.5,Ext,13,1.468,1.944,22
4706,108445.18,36.42,65.75,Ext,19,7.63,27.455,22
4707,108446.61,37.85,76.5,Ext,15,1.761,4.344,22
4709,108448.66,0.17,114.75,Ext,48,0.705,3.408,22
4710,108449.16,0.68,84,Ext,13,1.292,2.928,22
4711,108451.51,3.02,114,Ext,13,0.392,0.96,22
4712,108452.27,3.79,32.25,Ext,14,0.392,1.152,22
4713,108452.66,4.18,49.75,Ext,24,4.794,7.776,22
4714,108453.07,4.59,62.25,Ext,4,0.294,0.624,22
4715,108453.32,4.83,67.25,Ext,16,1.468,2.112,22
4716,108453.5,5.01,69,Ext,10,0.49,2.16,22
4717,108454.17,5.69,68.5,Ext,3,0.294,1.032,22
4718,108454.22,5.74,98.5,Ext,10,0.294,1.056,22
4719,108454.86,6.38,84.75,Ext,31,2.544,7.704,22
4720,108455.27,6.79,69.75,Ext,14,4.109,6.24,22
4721,108456.14,7.65,36,Ext,5,0.392,1.728,22
4722,108456.55,8.07,62.75,Ext,4,0.49,0.984,22
4723,108457.03,8.55,55.25,Ext,3,2.446,2.184,22
4724,108457.07,8.59,70.25,Ext,39,1.663,4.344,22
4725,108457.2,8.71,101,Ext,27,1.174,3.84,22
4726,108457.75,9.27,75.25,Ext,2,0.294,0.792,22
4727,108457.91,9.42,82.25,Ext,8,0.294,0.504,22
4728,108457.93,9.45,97.25,Ext,8,0.294,0.696,22
4729,108458.14,9.66,82.25,Ext,18,2.544,3.84,22
4730,108460.97,12.49,94,Ext,12,0.392,0.864,22
4731,108468.41,19.93,109.25,Ext,6,0.294,0.984,22
4734,108515.53,4.1,95,Ext,20,9.391,4.608,22
4736,108558.18,7.01,161,Ext,12,0.587,0.84,22
4737,108558.2,7.03,95.25,Ext,11,0.587,0.888,22
4744,108748.25,11.17,14,Ext,20,1.526,2.712,22
4745,108748.56,11.49,13.25,Ext,15,1.292,2.352,22
4747,108763.15,13.35,96.75,Ext,20,0.294,0.528,22
4749,108828.19,38.56,88.5,Ext,26,0.94,3.36,22
4772,109283.54,17.42,94,Ext,10,6.065,6,22
4778,109417.23,31.87,109.5,Ext,14,0.685,1.968,22
4780,109433.41,8.3,92.25,Ext,14,0.392,0.744,22
4781,109433.67,8.55,92.25,Ext,13,0.392,1.128,22
4812,110508.3,10.11,92,Ext,4,6.652,5.856,22
4813,110511.75,13.56,94.5,Ext,10,15.358,7.032,22
4815,110575.12,37.14,82.5,Int,3,2.739,6.984,22
4828,110901.34,5.36,95,Ext,9,7.141,7.728,22
4829,110912.69,16.72,107.5,Ext,10,0.685,4.344,22
4835,111100.06,5.26,145.75,Ext,29,0.47,0.96,22
4838,111197.07,22.75,95.25,Ext,17,3.522,3.6,22
4846,111466.27,13.49,87.25,Ext,14,7.63,8.952,22
4849,111550.7,18.39,87.75,Ext,16,16.532,13.704,22
4850,111551.31,18.99,124,Ext,13,1.468,3.648,22
4851,111551.64,19.33,124.25,Ext,6,0.294,0.624,22
4852,111551.8,19.48,123.5,Ext,8,0.196,0.984,22
4853,111552,19.69,124.25,Ext,10,1.566,2.424,22
4856,111613.78,1.94,90.75,Ext,19,3.033,4.632,22
4859,111714.81,23.4,87.25,Ext,15,2.642,3.024,22
4860,111715.17,23.76,89,Ext,10,0.294,0.888,22
4877,112301.05,14.47,138,Ext,21,0.49,0.648,22
4878,112321.32,34.74,84,Ext,17,1.957,4.152,22
4896,112913.48,30.28,90.75,Ext,12,2.544,4.536,22
5123,120451.62,27.26,100.25,Ext,20,0.392,1.1,24
5173,122358.79,31.85,93.25,Ext,12,3.522,3.456,24
5223,124033.71,7.94,64.25,Ext,20,7.141,4.739,24
5224,124034.01,8.24,92.25,Ext,10,0.49,2.697,24
5225,124034.41,8.64,63.5,Ext,16,1.761,4.791,24
5266,125328.01,30.3,97.75,Ext,8,0.587,1.597,24
5374,129240.86,25.95,75.75,Ext,10,1.957,3.194,24
5383,129538.01,8.78,49,Int,23,0.49,1.1,24
5394,129917.84,35.33,89.75,Ext,8,1.566,1.885,24
5396,129924.76,2.7,59,Ext,8,4.011,7.357,24
5431,131272.88,29.13,87,Ext,11,0.392,1.152,24
5506,133806.41,33.45,95.75,Ext,6,0.685,1.309,24
5610,137292.03,32.34,83.75,Ext,12,3.229,4.87,24
5636,138197.39,7.49,75.75,Ext,35,15.847,12.122,24
5638,138258.34,28.82,94.5,Ext,22,6.359,4.687,24
5683,139933.36,12.34,100.5,Ext,13,2.153,3.692,24
5692,140229.53,30.91,28.5,Ext,7,0.685,1.676,24
5693,140232.77,34.14,87.25,Ext,20,9,66.131,24
5695,140237.05,38.42,38.5,Ext,4,1.468,4.739,24
5696,140238.17,39.54,76,Ext,12,36.977,40.422,24
5698,140240.71,2.39,49,Ext,8,3.033,6.074,24
5699,140243.02,4.7,100.25,Ext,13,34.922,27.777,24
5700,140243.77,5.45,136,Ext,12,8.315,26.652,24
5701,140244.04,5.72,66.5,Ext,10,5.968,14.059,24
5702,140244.38,6.06,91,Ext,15,10.174,12.907,24
5703,140245.45,7.14,49,Ext,13,0.587,1.336,24
5704,140258.44,20.12,143.75,Ext,12,3.913,3.849,24
5708,140337.89,20.52,96.25,Ext,11,3.424,4.032,24
5712,140430.62,33.97,18.5,Ext,4,7.63,38.38,24
5713,140431.66,35.01,148.5,Ext,7,0.979,3.142,24
5715,140442.41,6.27,107.5,Ext,10,12.913,29.113,24
5716,140446.3,10.15,83.5,Ext,10,0.294,1.074,24
5717,140458.26,22.12,95.25,Ext,15,0.294,0.76,24
5718,140459.18,23.04,118.25,Ext,5,0.979,1.624,24
5719,140459.44,23.3,85.75,Ext,6,0.294,0.969,24
5720,140460.02,23.88,84.5,Ext,5,0.196,0.838,24
5721,140460.15,24,97.5,Ext,9,0.49,0.995,24
5722,140460.56,24.42,94.5,Ext,2,0.196,0.943,24
5723,140462.73,26.59,87.5,Ext,16,0.294,0.891,24
5724,140463.08,26.94,90,Ext,26,2.153,3.666,24
5725,140463.55,27.41,93.75,Ext,6,3.718,4.242,24
5726,140463.84,27.7,88.75,Ext,4,0.294,0.943,24
5728,140502.39,26.6,106.25,Ext,23,0.587,1.126,24
5729,140502.77,26.99,105.75,Ext,11,0.587,0.943,24
5730,140504.3,28.51,92.5,Ext,15,0.392,0.891,24
5731,140508.07,32.29,85.75,Ext,10,0.49,1.1,24
5732,140508.37,32.59,88.25,Ext,7,0.392,1.179,24
5733,140511.08,35.29,88.25,Ext,23,0.392,0.838,24
5734,140511.22,35.44,85,Ext,7,0.392,0.838,24
5739,140580.37,4.9,0.75,Ext,15,0.294,0.864,24
5740,140580.73,5.26,0,Ext,19,0.294,0.969,24
5741,140581.07,5.61,1.25,Ext,20,0.196,1.362,24
5745,140594.52,4.29,2.75,Ext,7,1.057,0.744,22
5746,140594.64,4.41,1.5,Ext,10,0.235,0.648,22
5747,140594.69,4.46,7.75,Ext,15,0.235,0.648,22
5748,140594.87,4.64,0.25,Ext,10,0.235,1.104,22
5749,140595.23,5,1.5,Ext,13,0.353,0.96,22
5754,140735.63,36.35,171,Ext,17,0.294,0.96,22
5759,140881.83,24.02,172.75,Ext,13,0.587,0.696,22
5771,141319.82,25.47,81.25,Ext,14,0.49,0.984,22
5813,142768.12,39.51,84.75,Ext,16,7.826,3.888,22
5835,143584.05,26.12,35.75,Int,28,0.685,1.536,22
5838,143677.14,39.73,104.75,Ext,40,0.49,1.464,22
5900,145933.71,6.49,94.5,Ext,22,0.47,0.72,22
5920,146674.44,3.76,175.5,Int,5,4.011,5.112,22
5921,146675.95,5.26,178,Int,19,7.141,5.784,22
5953,147778.81,6.95,79,Ext,7,0.587,2.256,22
5961,147983.38,14.23,90,Int,14,2.935,5.064,22
5993,149206.9,12.53,172.25,Ext,6,0.783,1.656,22
5994,149211.18,16.81,174,Ext,13,0.587,1.296,22
6029,150565.51,22.31,125.75,Ext,6,0.587,2.184,22
6067,151897.74,3.62,85,Ext,9,0.392,0.936,22
6068,151899.83,5.7,91.5,Ext,22,0.979,4.296,22
6069,151932.27,38.14,87.25,Ext,8,0.353,0.648,22
6070,151933.68,39.56,86,Ext,5,0.47,1.272,22
6072,151933.9,0.1,87.25,Ext,7,2.583,2.976,22
6073,151936.84,3.05,90.25,Ext,7,0.47,0.816,22
6074,151937.42,3.63,87.25,Ext,29,0.705,1.968,22
6075,151939.71,5.91,89,Ext,4,0.353,0.696,22
6080,152076.76,23.8,173.75,Ext,21,0.392,2.208,22
6081,152081.34,28.38,18.5,Ext,5,0.47,1.608,22
6082,152088.65,35.69,82.25,Ext,10,5.048,6.48,22
6083,152088.71,35.76,93.75,Ext,6,0.47,0.912,22
6084,152092.01,39.05,103,Ext,8,1.761,9.888,22
6086,152093.97,1.26,81,Ext,9,0.47,1.2,22
6104,152687.19,1.6,153.5,Ext,4,1.761,3.168,22
6170,154503.08,34.62,70.75,Ext,17,0.587,0.744,22
6238,156236.71,36.04,57.5,Int,10,1.174,3.984,22
6242,156281.34,1.03,85.75,Ext,13,2.348,2.784,22
6249,156523.38,7.9,172.25,Ext,9,0.49,0.696,22
6250,156523.4,7.92,18.5,Ext,17,0.392,2.208,22
6251,156527.97,12.49,19.5,Ext,10,1.37,2.448,22
6276,157337.08,27.81,58.5,Ext,3,0.47,1.536,22
6277,157337.39,28.12,63,Ext,12,0.353,0.888,22
6346,159313.82,29.3,73.5,Ext,3,0.353,0.72,22
6347,159315.32,30.8,74.25,Ext,6,3.992,2.472,22
6348,159317.1,32.58,74.25,Ext,10,41.32,4.392,22
6349,159320.89,36.37,70.5,Ext,16,2.231,3.168,22
6350,159321.42,36.9,70.5,Ext,10,4.461,2.184,22
6351,159323.42,38.9,70.5,Ext,10,3.757,1.968,22
6369,159947.54,26.73,78.75,Ext,5,0.979,1.056,22
6371,159979.59,19,89,Ext,6,0.685,1.632,22
6372,159984.54,23.95,91,Ext,7,1.566,3.072,22
6373,159990.37,29.78,82.75,Ext,13,0.294,0.504,22
6374,159996.44,35.85,82.25,Ext,12,0.294,1.128,22
6375,159998.69,38.1,85.75,Ext,5,8.12,4.848,22
6377,160001,0.69,91,Ext,10,0.979,1.752,22
6378,160030.57,30.27,88.75,Ext,5,0.294,0.672,22
6379,160031.01,30.71,89.25,Ext,10,0.49,1.488,22
6380,160033.1,32.79,85.25,Ext,5,2.153,4.104,22
6381,160033.47,33.16,89,Ext,3,1.761,5.304,22
6382,160036.46,36.15,102.25,Ext,5,10.272,2.904,22
6383,160039.56,39.25,87.25,Ext,10,0.294,1.272,22
6385,160040.22,0.15,96.75,Ext,15,4.109,5.976,22
6390,160110.66,1.19,93.25,Ext,8,0.47,1.368,22
6401,160471.32,23.91,77.75,Int,10,0.881,1.944,22
6479,162772.11,26.39,55.75,Int,27,1.566,6.288,22
6504,163656.68,6.45,84.25,Ext,4,0.881,1.08,22
6505,163664.29,14.06,84.25,Ext,2,2.348,2.784,22
6506,163670.53,20.29,88.5,Ext,8,0.587,0.48,22
6509,163730.31,0.73,80,Ext,4,0.587,3.072,22
6510,163752.53,22.96,174.5,Ext,10,0.294,0.84,22
6511,163753.81,24.23,173.25,Ext,5,0.49,1.176,22
6512,163758.23,28.66,172.25,Ext,11,0.294,0.576,22
6513,163765.49,35.91,175,Ext,6,0.294,0.648,22
6514,163765.63,36.06,174.25,Ext,10,0.294,0.816,22
6518,163772.18,2.85,174.5,Ext,13,0.49,0.84,22
6522,163809.6,0.63,90.25,Ext,15,1.077,4.2,22
6523,163809.78,0.81,0.75,Ext,11,0.587,1.032,22
6524,163809.99,1.02,0.75,Ext,8,0.587,0.864,22
6525,163810.2,1.23,171.5,Ext,12,1.761,1.464,22
6526,163832.93,23.96,167,Ext,11,0.49,0.696,22
6527,163842.62,33.65,176,Ext,15,1.272,1.968,22
6528,163842.8,33.83,176.75,Ext,10,4.402,3.576,22
6529,163843.61,34.64,178.5,Ext,10,0.587,0.936,22
6533,163895.85,7.46,0.75,Ext,10,0.294,0.864,22
6535,163901.18,12.79,175.75,Ext,10,0.294,0.744,22
6536,163901.33,12.94,177.5,Ext,11,0.294,0.576,22
6537,163901.69,13.3,2.5,Ext,8,0.392,0.456,22
6538,163901.82,13.43,176.25,Ext,10,0.294,0.792,22
6539,163901.94,13.55,177,Ext,9,0.392,0.768,22
6541,163910.76,22.37,177,Ext,4,0.685,1.152,22
6542,163912,23.61,174,Ext,8,0.392,0.696,22
6543,163921.75,33.36,172.5,Ext,10,0.294,0.624,22
6577,164248.62,7.15,77.25,Ext,17,0.47,0.648,22
6585,164418.2,18.06,174,Ext,20,0.274,0.624,22
6588,164444.75,4.83,88.25,Ext,10,1.644,8.4,22
6600,164780.36,29.3,52.75,Int,14,0.685,2.16,22
6623,165606.48,21.96,87,Ext,3,0.548,1.056,22
6635,165998.8,20.36,84.25,Ext,13,0.47,0.912,22
6636,166002.91,24.47,90.5,Ext,12,1.996,1.824,22
6637,166017.08,38.64,89.25,Ext,6,0.548,1.104,22
6639,166018.4,0.28,91.75,Ext,30,0.548,1.656,22
6641,166022.77,4.65,87.5,Ext,10,1.292,1.2,22
6642,166024.52,6.4,89.25,Ext,5,0.822,2.568,22
6643,166025.61,7.49,162.25,Ext,10,0.353,0.624,22
6647,166168.8,31.57,17.5,Int,19,1.409,2.28,22
6658,166479.84,25.25,6.5,Int,15,1.879,1.488,22
6659,166494.04,39.46,89.25,Ext,20,0.353,0.672,22
6661,166519.33,25.16,83,Ext,8,0.587,0.96,22
6662,166522.54,28.36,93.75,Ext,6,0.587,1.176,22
6665,166601.01,27.41,91,Ext,11,0.587,0.96,22
6667,166628.19,20,89.25,Ext,4,0.822,1.056,22
6668,166647.75,39.57,105.25,Ext,10,0.353,0.744,22
6670,166648.59,0.63,104.5,Ext,20,0.353,0.96,22
6682,167039.06,0.7,94.25,Ext,17,3.17,7.728,22
6688,167211.82,14.9,90.5,Ext,4,0.47,0.96,22
6689,167220.34,23.42,84.5,Ext,7,0.587,0.936,22
6690,167225.43,28.51,89,Ext,14,4.109,4.08,22
6691,167226.19,29.26,84.5,Ext,17,1.292,2.328,22
6692,167227.31,30.39,88.75,Ext,8,5.635,3.072,22
6693,167230.25,33.32,100,Ext,15,1.292,2.832,22
6695,167241.92,5.3,84.25,Ext,14,0.587,0.984,22
6696,167257.58,20.96,88.75,Ext,4,0.705,1.104,22
6698,167287.92,11.66,82.25,Ext,5,0.587,0.912,22
6699,167315.77,39.51,84.75,Ext,10,0.822,1.128,22
6709,167671.78,38.28,18.75,Ext,19,0.822,1.848,22
6711,167683,9.94,83.5,Ext,16,1.174,2.472,22
6715,167799.71,7.53,179.75,Ext,5,1.526,3.192,22
6716,167800.46,8.28,174.25,Ext,16,0.353,0.6,22
6729,168149.94,1.45,86.5,Ext,10,0.587,1.224,22
6732,168256.72,30.64,95.5,Ext,6,0.587,1.368,22
6733,168260.3,34.23,88.5,Ext,2,0.49,1.032,22
6734,168263.12,37.05,91,Ext,13,0.587,1.128,22
6736,168269.75,3.96,93.75,Ext,7,0.587,1.752,22
6737,168270.77,4.99,90.75,Ext,5,1.526,2.592,22
6738,168276.04,10.25,88.75,Ext,6,0.353,0.792,22
6740,168307.22,1.81,95,Ext,13,10.565,7.872,22
6744,168427.43,2.95,1.75,Ext,12,1.057,1.224,22
6747,168539.31,35.44,89,Ext,3,0.587,0.864,22
6748,168539.4,35.53,96,Ext,14,0.587,1.008,22
6752,168637.47,19.66,78.75,Ext,6,0.587,1.2,22
6753,168637.79,19.97,107.5,Ext,3,0.294,1.008,22
6755,168691.46,34,88.25,Ext,4,0.47,0.936,22
6758,168767.5,30.6,86.5,Ext,4,0.587,0.816,22
6759,168767.91,31.01,86.5,Ext,4,2.348,2.16,22
6762,168781.11,4.5,79.25,Ext,4,2.153,3.648,22
6764,168819.07,2.8,102,Ext,10,1.996,1.008,22
6766,168856.27,0.33,76.5,Ext,19,0.353,0.888,22
6767,168856.59,0.64,76.5,Ext,22,1.174,4.56,22
6768,168864.98,9.03,96.75,Ext,2,1.859,3.12,22
6770,168903.01,7.41,179.25,Ext,25,0.587,1.104,22
6777,169119.05,25.13,87,Ext,10,3.033,2.832,22
6778,169119.4,25.48,86,Ext,3,2.837,4.152,22
6787,169331.38,1.5,79,Ext,4,0.94,1.152,22
6789,169369.27,39.4,89,Ext,5,0.822,2.28,22
6791,169392.6,23.11,161.5,Ext,20,0.392,0.696,22
6792,169393.01,23.52,161.5,Ext,15,0.587,1.008,22
6797,169526.48,37.76,92,Ext,5,2.113,3.672,22
6799,169529.27,0.78,92.5,Ext,16,1.292,1.392,22
6800,169530.04,1.55,91.75,Ext,14,0.509,1.296,22
6801,169544.09,15.6,96,Ext,14,0.587,0.888,22
6802,169560.63,32.14,91,Ext,15,0.705,1.152,22
6804,169573.1,5.02,85.75,Ext,5,1.644,1.632,22
6805,169574.71,6.63,95,Ext,7,0.587,0.84,22
6806,169575.3,7.22,94,Ext,14,2.113,3.456,22
6807,169577.97,9.89,83.25,Ext,17,0.822,1.248,22
6808,169582.16,14.07,98.25,Ext,15,0.822,1.968,22
6809,169582.44,14.36,97.5,Ext,8,0.587,0.912,22
6810,169588.84,20.75,95,Ext,13,1.526,3.888,22
6811,169589.3,21.21,95,Ext,15,0.822,1.704,22
6812,169591.24,23.16,96.25,Ext,15,0.822,1.224,22
6813,169592.38,24.3,95,Ext,8,0.235,0.456,22
6814,169598.86,30.77,82,Ext,7,0.705,0.888,22
6815,169599.61,31.52,96.25,Ext,10,0.94,1.176,22
6816,169601.12,33.04,96.5,Ext,13,2.935,2.064,22
6817,169605.45,37.36,82.25,Ext,11,0.47,1.2,22
6818,169606.3,38.22,93.5,Ext,15,0.822,1.368,22
6819,169606.93,38.84,94.25,Ext,7,0.587,1.008,22
6820,169607.29,39.2,82.25,Ext,20,2.113,9.096,22
6822,169609.79,2.04,88,Ext,21,2.231,4.92,22
6823,169613.38,5.63,95.25,Ext,21,6.652,5.112,22
6824,169615.97,8.22,81,Ext,15,2.544,2.136,22
6825,169617.19,9.44,88,Ext,16,3.131,3.792,22
6826,169621.4,13.65,98.5,Ext,10,0.294,0.768,22
6827,169621.84,14.09,90.5,Ext,18,0.587,1.776,22
6828,169624.88,17.13,93,Ext,5,0.587,1.008,22
6829,169625.76,18.01,104.25,Ext,8,0.294,0.888,22
6830,169639.33,31.58,93.25,Ext,6,2.348,2.76,22
6831,169640.69,32.94,92,Ext,5,0.783,1.704,22
6832,169646.02,38.27,90.75,Ext,11,1.879,3.048,22
6834,169657.01,9.42,93.5,Ext,10,1.859,2.208,22
6835,169657.48,9.88,93.5,Ext,5,0.294,0.816,22
6836,169662.48,14.89,87.25,Ext,5,0.783,1.2,22
6839,169718.33,31.07,92.75,Ext,13,0.587,1.176,22
6840,169719.11,31.84,91.5,Ext,10,0.353,0.984,22
6842,169729.46,2.45,91.5,Ext,15,0.587,0.96,22
6843,169731.45,4.44,83.5,Ext,18,0.47,0.912,22
6846,169793.7,26.96,127.75,Int,20,0.294,0.792,22
6853,170021.47,16.49,83,Ext,15,4.109,4.872,22
6854,170027.07,22.09,92,Ext,17,0.587,1.128,22
6855,170030.65,25.68,86,Ext,8,0.587,0.888,22
6856,170033.96,28.99,86.5,Ext,5,1.174,0.864,22
6857,170040.86,35.89,94,Ext,5,1.272,0.984,22
6859,170077.73,33.03,86.25,Ext,13,0.587,1.68,22
6861,170111.7,31.89,84.5,Ext,10,0.685,1.008,22
6862,170116.38,36.58,96.75,Ext,9,0.587,1.008,22
6865,170159.81,0.63,84.5,Ext,9,0.705,1.08,22
6867,170195.97,36.79,98.75,Ext,17,0.685,1.104,22
6869,170229.17,30.27,97,Ext,6,2.466,2.184,22
6870,170230.82,31.91,89.5,Ext,15,0.353,1.032,22
6871,170231.17,32.27,93.75,Ext,9,0.353,0.744,22
6877,170405.44,8.15,100,Ext,14,2.739,3.816,22
6878,170434.89,37.6,90.25,Ext,10,0.94,3.864,22
6879,170435.43,38.14,77,Ext,10,0.822,1.8,22
6881,170438.71,1.59,78.75,Ext,8,0.392,1.104,22
6882,170438.88,1.76,81.25,Ext,10,0.294,0.648,22
6883,170440.26,3.14,95,Ext,13,1.077,3.072,22
6884,170440.81,3.68,81.25,Ext,20,0.294,0.744,22
6885,170450.97,13.85,78.75,Ext,25,1.566,3.624,22
6886,170452.08,14.96,75,Ext,6,0.822,0.984,22
6888,170472.15,35.03,82.75,Ext,12,0.587,1.128,22
6889,170474.2,37.08,94.75,Ext,15,1.996,5.544,22
6890,170474.9,37.78,86.5,Ext,20,0.353,1.2,22
6892,170477.74,1.05,79.75,Ext,26,0.587,1.056,22
6893,170478.18,1.49,89.75,Ext,16,3.405,2.976,22
6894,170484.22,7.53,97,Ext,24,1.957,3.936,22
6895,170484.93,8.25,89.5,Ext,15,0.783,1.104,22
6897,170486.59,9.9,78.25,Ext,17,1.174,2.712,22
6898,170490.54,13.86,80.5,Ext,29,2.055,3.912,22
6899,170512.07,35.39,81.5,Ext,27,2.348,4.848,22
6900,170513.05,36.37,97.75,Ext,26,0.392,1.056,22
6902,170518.22,1.77,90.75,Ext,6,0.587,1.296,22
6903,170520.42,3.98,84.5,Ext,5,0.685,0.864,22
6904,170520.5,4.05,93.75,Ext,10,0.294,0.744,22
6906,170557.43,1.26,73.25,Ext,9,0.783,0.72,22
6907,170570.74,14.57,85,Ext,27,0.587,1.992,22
6908,170583.63,27.46,88,Ext,8,0.685,1.08,22
6910,170589.67,33.5,88.25,Ext,5,0.587,0.744,22
6911,170594.85,38.69,89.25,Ext,8,0.353,0.648,22
6913,170628.31,32.41,92.25,Ext,13,0.49,0.744,22
6914,170635.44,39.53,87.5,Ext,21,0.587,1.008,22
6917,170691.44,37.43,86,Ext,8,1.174,3.168,22
6918,170691.82,37.81,84.75,Ext,5,2.7,1.944,22
6919,170692.93,38.92,84,Ext,15,0.94,5.76,22
6922,170715.05,21.35,93,Ext,16,0.294,0.624,22
6925,170773.69,0.66,93.25,Ext,17,0.822,0.84,22
6926,170775.17,2.14,84.5,Ext,3,0.587,1.224,22
6927,170775.66,2.63,88.25,Ext,7,0.587,0.936,22
6929,170822.76,10.05,103.25,Ext,17,0.783,1.92,22
6930,170831.09,18.38,86.25,Ext,18,6.554,5.256,22
6931,170834.19,21.48,91.25,Ext,9,0.49,0.576,22
6933,170871.91,19.46,76,Ext,4,0.587,0.888,22
6947,171295.24,6.56,92.5,Ext,9,0.196,0.552,22
6948,171303.2,14.51,93.75,Ext,10,0.49,0.792,22
6949,171305.24,16.56,80,Ext,10,0.49,0.96,22
6950,171321.84,33.15,87.5,Ext,23,1.566,2.424,22
6951,171322.64,33.95,96.25,Ext,13,0.587,1.104,22
6952,171323.63,34.95,87.5,Ext,22,8.687,7.536,22
