wheel,station,Tool Speed (ft/sec),depth,WT,SMYS,length,width,clock,degrees,DTDC,Int/Ext
7535.77,7496.36,7.1,20,0.25,52000,1.282,1.287,5:15,159,159,External
7546.13,7506.75,7.01,21,0.25,52000,1.171,0.714,5:15,160,160,External
7558.66,7519.32,6.77,21,0.25,52000,0.636,0.47,5:45,174,174,External
7560.42,7521.04,6.77,36,0.25,52000,1.87,2.746,5:45,175,175,External
7573.27,7533.95,6.83,40,0.25,52000,0.674,2.228,6:30,197,-163,External
7574.53,7535.18,7.06,20,0.25,52000,1.379,0.829,11:15,336,-24,Internal
7638.99,7599.79,7.55,20,0.25,52000,0.674,0.547,6:30,192,-168,External
7641.74,7602.41,7.55,26,0.25,52000,4.032,5.39,6:00,183,-177,External
7661.34,7622.19,7.2,20,0.25,52000,0.548,0.412,7:00,210,-150,External
7662.2,7622.93,7.2,22,0.25,52000,3.504,1.724,7:00,211,-149,External
7662.37,7623.04,7.2,27,0.25,52000,4.967,5.435,6:30,194,-166,External
7662.96,7623.81,7.2,24,0.25,52000,0.77,0.803,6:30,192,-168,External
7666.97,7627.81,6.99,20,0.25,52000,0.95,0.639,6:30,194,-166,External
7854.17,7815.38,7.61,28,0.25,52000,0.665,0.547,12:45,23,23,Internal
7854.36,7815.55,7.61,25,0.25,52000,1.096,0.939,12:45,21,21,Internal
7998.87,7960.34,7.51,21,0.25,52000,0.677,0.621,3:15,97,97,External
8015.89,7977.4,7.06,29,0.25,52000,0.582,0.489,5:15,160,160,External
8805.99,8768.96,7.37,21,0.25,52000,0.48,0.52,5:45,174,174,External
8876.67,8839.77,7.67,23,0.25,52000,0.462,0.371,6:15,188,-172,External
8945.04,8908.27,7.18,23,0.25,52000,0.488,0.663,6:00,177,177,External
8947.64,8910.87,7.18,26,0.25,52000,0.52,0.425,6:00,181,-179,External
9184.09,9147.76,8.21,54,0.25,52000,0.471,0.556,3:45,112,112,External
9184.26,9147.87,8.21,43,0.25,52000,1.885,0.405,4:15,130,130,External
9480.76,9444.98,9.45,20,0.25,35000,0.47,0.381,5:30,165,165,External
9483.37,9447.59,9.45,35,0.25,35000,0.601,0.686,8:15,248,-112,External
9484.31,9448.49,9.45,24,0.25,35000,1.478,1.143,8:00,242,-118,External
9516.52,9480.7,8.36,29,0.25,35000,2.957,2.135,5:45,173,173,External
9517.8,9482.04,8.36,21,0.25,35000,1.561,1.21,5:15,162,162,External
9517.9,9482.14,8.36,28,0.25,35000,1.552,3.049,6:15,189,-171,External
9518.42,9482.7,8.36,19,0.25,35000,0.743,0.619,4:45,140,140,External
9518.61,9482.89,8.36,25,0.25,35000,0.529,0.643,5:00,153,153,External
9520.37,9484.59,8.36,24,0.25,35000,2.359,2.312,6:15,185,-175,External
9520.93,9485.13,8.36,27,0.25,35000,2.712,1.704,6:00,181,-179,External
9521.39,9485.67,8.15,19,0.25,35000,0.585,0.447,6:30,196,-164,External
9628.55,9592.37,7.32,21,0.25,35000,0.515,0.523,5:45,171,171,External
9628.73,9592.54,7.32,24,0.25,35000,0.627,1.345,5:30,166,166,External
9628.96,9592.71,7.32,22,0.25,35000,1.959,2.907,6:15,189,-171,External
9632.69,9596.48,7.32,32,0.25,35000,0.436,0.695,4:45,145,145,External
11466.19,11419.38,8.65,39,0.25,35000,0.477,0.508,6:30,196,-164,External
11466.97,11420.15,8.65,22,0.25,35000,0.728,0.547,6:30,195,-165,External
11467.24,11420.41,8.65,26,0.25,35000,0.829,0.701,6:15,190,-170,External
11467.88,11421.01,8.65,30,0.25,35000,1.731,0.907,6:15,191,-169,External
11468.15,11421.28,8.65,19,0.25,35000,1.813,0.785,6:30,194,-166,External
11515.39,11468.29,9.16,21,0.25,35000,0.858,0.627,7:45,235,-125,External
11515.74,11468.66,9.16,24,0.25,35000,0.392,0.439,7:15,216,-144,External
11515.82,11468.68,9.16,19,0.25,35000,1.561,0.956,5:00,151,151,External
11516.49,11469.23,9.16,35,0.25,35000,4.505,1.883,5:15,159,159,External
11559.97,11512.62,8.64,24,0.25,35000,0.534,0.587,5:45,171,171,External
11560.36,11512.89,8.64,39,0.25,35000,3.392,1.29,5:45,174,174,External
11560.72,11513.33,8.64,23,0.25,35000,1.468,1.727,5:45,172,172,External
11661.07,11613.08,7.39,19,0.25,35000,1.814,1.464,5:45,175,175,External
11735.85,11687.47,7.41,20,0.25,35000,0.776,0.784,6:15,185,-175,External
11830.1,11781.14,7.41,26,0.25,35000,1.733,2.554,6:00,179,179,External
11831.77,11782.78,7.41,20,0.25,35000,2.389,2.783,5:45,174,174,External
11911.51,11862.1,6.58,19,0.25,35000,0.656,0.553,6:00,179,179,External
12933.56,12875.93,6.9,23,0.25,35000,0.516,0.333,12:15,5,5,External
12970.81,12912.67,6.67,22,0.25,35000,5.515,6.249,6:00,182,-178,External
12971.64,12913.64,6.67,23,0.25,35000,1.979,2.526,6:30,193,-167,External
12972.36,12914.42,6.67,28,0.25,35000,0.58,0.525,5:15,156,156,External
12974.89,12916.9,6.67,24,0.25,35000,1.216,1.399,6:30,193,-167,External
12990.18,12932,7.52,22,0.25,35000,2.829,1.108,6:45,201,-159,External
12996.11,12937.88,7.52,31,0.25,35000,2.719,1.598,6:15,185,-175,External
12996.58,12938.29,7.51,28,0.25,35000,4.11,4.023,5:30,166,166,External
12997.3,12939.16,7.51,20,0.25,35000,0.538,0.539,5:15,157,157,External
13111.76,13052.64,7.11,37,0.25,35000,1.748,2.07,6:00,182,-178,External
13146.38,13087.02,6.8,20,0.25,35000,0.714,0.789,6:15,187,-173,External
13213.36,13153.42,7.51,19,0.25,35000,1.736,0.764,6:00,180,180,External
13232.62,13172.56,7.8,23,0.25,35000,0.929,0.875,5:00,148,148,External
13260.82,13200.52,7.83,25,0.25,35000,1.115,1.026,6:15,188,-172,External
13261.51,13201.13,7.83,34,0.25,35000,2.989,0.906,6:30,199,-161,External
13288.39,13227.9,7.48,19,0.25,35000,0.611,0.711,6:00,181,-179,External
13291.97,13231.39,7.4,22,0.25,35000,2.014,1.743,6:30,192,-168,External
13300.67,13240.06,7.34,22,0.25,35000,0.93,1.322,7:15,222,-138,External
13363.66,13302.55,7.11,34,0.25,35000,0.742,0.801,5:15,161,161,External
13490.25,13428.13,7.38,26,0.25,35000,0.795,0.807,11:45,356,-4,External
13507.7,13445.37,7.24,21,0.25,35000,2.251,0.253,4:00,117,117,External
16099.78,16018.04,8.24,20,0.25,35000,0.423,1.97,10:15,305,-55,External
16139.26,16057.25,8.04,21,0.25,35000,0.282,0.362,6:00,177,177,External
17861.52,17821.46,7.36,21,0.25,42000,0.489,0.439,4:45,141,141,External
17862.85,17822.82,7.36,19,0.25,42000,1.443,2.079,5:00,153,153,External
17863.7,17823.73,7.36,24,0.25,42000,1.165,1.213,5:15,156,156,External
17905.28,17867.67,7.15,31,0.25,42000,1.435,1.782,5:45,172,172,External
17908.97,17871.55,7.15,27,0.25,42000,2.071,0.893,5:45,174,174,External
17936.47,17900.66,7.37,21,0.25,42000,1.402,1.183,6:15,191,-169,External
17971.35,17937.56,6.94,19,0.25,42000,0.654,0.486,6:15,185,-175,External
18014.85,17983.56,7.37,33,0.25,42000,0.632,0.691,6:30,193,-167,External
18186.61,18165.15,7.67,20,0.25,42000,0.707,0.061,4:30,137,137,Internal
