wheel,station,Tool Speed (ft/sec),depth,WT,SMYS,length,width,clock,degrees,DTDC,Int/Ext
30777.79,30658.29,16.02,32,0.25,35000,0.739,0.542,5:15,157,157,External
30777.87,30658.39,16.02,23,0.25,35000,0.504,0.651,6:30,197,-163,External
30778.19,30658.57,16.02,24,0.25,35000,3.83,4.468,6:15,190,-170,External
30778.75,30659.23,16.02,22,0.25,35000,1.301,1.857,4:45,146,146,External
30778.82,30659.34,16.02,58,0.25,35000,0.583,0.784,6:45,207,-153,External
30778.99,30659.49,16.02,54,0.25,35000,0.846,0.898,6:30,192,-168,External
30780.96,30661.44,16.02,45,0.25,35000,1.48,0.956,6:15,185,-175,External
30782.74,30663.19,16.02,20,0.25,35000,2.057,2.642,5:00,152,152,External
30782.74,30663.24,16.02,28,0.25,35000,0.815,0.914,6:00,180,180,External
30783,30663.49,16.02,24,0.25,35000,1.21,0.81,4:45,141,141,External
30783.18,30663.68,16.02,44,0.25,35000,1.033,0.921,4:15,124,124,External
30783.51,30663.99,16.02,29,0.25,35000,1.47,1.542,5:45,170,170,External
30784.28,30664.79,16.02,20,0.25,35000,0.842,0.889,6:00,179,179,External
30784.71,30665.23,16.02,19,0.25,35000,0.589,0.813,5:45,170,170,External
30829.23,30709.71,14.87,20,0.25,35000,1.991,1.048,8:00,240,-120,External
30829.78,30710.31,14.87,55,0.25,35000,0.948,1.397,8:15,246,-114,External
30829.98,30710.5,14.87,22,0.25,35000,1.168,1.254,7:45,232,-128,External
30830.2,30710.68,14.87,20,0.25,35000,2.173,0.827,7:15,221,-139,External
30830.43,30710.94,14.87,61,0.25,35000,1.543,1.281,7:45,235,-125,External
30830.8,30711.27,14.87,63,0.25,35000,2.474,0.979,7:45,231,-129,External
30831.52,30711.98,14.87,65,0.25,35000,2.428,1.632,8:00,240,-120,External
30832.33,30712.8,14.87,25,0.25,35000,2.231,1.785,8:45,259,-101,External
30832.88,30713.4,14.87,24,0.25,35000,1.245,0.853,9:00,271,-89,External
30840.02,30720.56,15.46,19,0.25,35000,0.894,1.389,7:15,217,-143,External
30840.2,30720.74,15.46,22,0.25,35000,0.851,0.638,7:15,215,-145,External
30869.01,30749.56,15.52,19,0.25,35000,1.021,0.727,4:15,132,132,External
30869.42,30749.99,15.52,20,0.25,35000,0.437,0.371,5:00,152,152,External
30869.72,30750.29,15.52,22,0.25,35000,0.679,0.451,4:00,119,119,External
30871.25,30751.83,15.52,20,0.25,35000,0.464,0.47,5:30,168,168,External
30871.51,30752.07,15.52,19,0.25,35000,0.638,0.836,4:45,143,143,External
30871.93,30752.5,15.52,27,0.25,35000,0.562,0.63,5:15,159,159,External
31020.69,30903.81,15.05,21,0.25,35000,1.039,0.746,11:45,355,-5,External
31041.76,30925.69,14.86,20,0.25,35000,0.866,1.015,9:45,292,-68,External
31054.84,30939.28,14.78,20,0.25,35000,0.65,0.665,5:45,170,170,External
31095.47,30981.42,14.52,19,0.25,35000,1.575,0.581,6:45,203,-157,External
31103.63,30989.94,14.38,21,0.25,35000,0.401,0.545,5:15,157,157,External
31111.53,30998.09,14.34,21,0.25,35000,1.65,1.208,5:15,158,158,External
31251.88,31143.82,14.43,20,0.25,35000,0.691,0.333,11:00,329,-31,Internal
31267.91,31160.4,14.5,19,0.25,35000,1.925,0.687,5:15,155,155,External
31267.99,31160.55,14.5,19,0.25,35000,0.51,0.336,6:15,188,-172,External
31272.28,31165,14.5,23,0.25,35000,0.48,0.504,6:00,180,180,External
31379.7,31276.46,14.39,20,0.25,35000,1.754,0.917,8:00,239,-121,Internal
31915.23,31832.44,11.9,22,0.25,35000,0.301,0.333,6:00,181,-179,External
31918.04,31835.34,11.9,19,0.25,35000,0.615,0.542,6:15,189,-171,External
31978.61,31898.15,12.65,23,0.25,35000,2.227,1.206,5:15,159,159,External
32023.25,31944.44,12.61,20,0.25,35000,3.413,7.474,6:00,179,179,External
32033.1,31954.77,12.62,19,0.25,35000,0.916,1.091,5:15,159,159,External
32553.21,32494.7,10.1,21,0.25,35000,0.593,0.59,9:00,268,-92,Internal
32554.9,32496.43,10.1,24,0.25,35000,1.139,1.155,4:45,143,143,External
32651.96,32597.2,9.25,45,0.25,35000,0.836,0.574,10:45,325,-35,Internal
32961.36,32918.27,8.81,19,0.25,35000,3.426,2.033,11:15,335,-25,External
32997.34,32955.74,8.29,19,0.25,35000,0.518,0.562,5:15,158,158,External
33346.3,33317.95,8.52,26,0.25,35000,1.311,0.973,4:15,130,130,External
33346.62,33318.31,8.52,19,0.25,35000,0.646,0.622,7:45,235,-125,External
33346.74,33318.43,8.52,19,0.25,35000,0.93,0.701,7:15,221,-139,External
33347.47,33319.16,8.52,26,0.25,35000,1.435,0.451,7:45,234,-126,External
33353.44,33325.38,8.52,35,0.25,35000,0.896,0.825,6:15,191,-169,External
33357.81,33329.94,8.63,46,0.25,35000,0.361,0.43,7:15,215,-145,External
33361.8,33334.08,8.63,19,0.25,35000,0.475,0.444,4:45,140,140,External
33394.34,33367.66,8.56,22,0.25,35000,5.136,1.713,3:00,89,89,External
33396.22,33369.74,8.46,22,0.25,35000,2.111,1.413,3:15,95,95,External
33396.99,33370.51,8.46,28,0.25,35000,2.544,1.135,3:00,93,93,External
33399.18,33372.84,8.46,36,0.25,35000,1.334,0.634,3:00,91,91,External
33417.68,33392.09,8.48,19,0.25,35000,0.4,0.541,8:30,253,-107,External
33453.54,33427.79,8.05,21,0.25,35000,0.478,0.48,6:15,188,-172,External
33462.94,33437.07,7.76,23,0.25,35000,1.662,1.405,5:45,177,177,External
33463.43,33437.47,7.76,19,0.25,35000,3.664,2.981,5:00,152,152,External
33509.7,33483.5,8.15,19,0.25,35000,0.554,0.9,6:30,193,-167,External
33510.2,33484,8.15,22,0.25,35000,0.657,2.04,5:15,154,154,External
33521.16,33494.85,8.18,34,0.25,35000,1.15,1.071,5:00,152,152,External
33522.41,33496.1,8.18,27,0.25,35000,0.767,0.586,6:30,198,-162,External
33522.63,33496.33,8.18,22,0.25,35000,0.684,0.928,6:15,191,-169,External
33523,33496.69,8.18,20,0.25,35000,0.621,0.53,4:00,124,124,External
33523.54,33497.23,8.18,54,0.25,35000,0.679,0.595,7:15,215,-145,External
33618.3,33591.25,8.21,23,0.25,35000,0.534,0.962,6:00,181,-179,External
33769.97,33741.72,7.73,22,0.25,35000,0.541,0.29,6:15,190,-170,External
33905.53,33876.22,8.69,22,0.25,35000,0.42,0.316,12:30,18,18,External
34335.44,34302.73,7.85,20,0.25,35000,0.866,0.651,1:30,49,49,External
35467.45,35425.84,7.97,21,0.25,35000,0.508,0.334,10:30,319,-41,External
35482.9,35441.17,7.79,20,0.25,35000,0.5,0.37,1:00,29,29,Internal
35583.54,35541,8.25,23,0.25,35000,0.937,0.476,12:30,16,16,Internal
36155.08,36109.9,8.21,41,0.25,35000,0.715,0.714,7:30,225,-135,Internal
36446.1,36401.44,8.04,20,0.25,35000,2.945,0.49,1:00,33,33,External
36449.64,36404.94,8.04,26,0.25,35000,3.888,1.49,1:00,32,32,External
36480.64,36436.14,8.31,41,0.25,35000,0.839,0.866,1:00,32,32,Internal
37301.87,37259.07,8.38,30,0.25,35000,1.291,0.472,6:15,190,-170,External
37429.27,37386.75,8.57,23,0.25,35000,1.174,0.424,1:30,47,47,External
37527.99,37485.67,8.36,24,0.25,35000,1.066,0.575,2:45,80,80,External
38916.44,38877.06,8.32,22,0.25,35000,0.356,0.333,12:15,4,4,Internal
39220.6,39181.83,7.37,30,0.25,35000,1.136,2.419,5:45,174,174,External
39638.25,39589.66,18.43,21,0.25,35000,1.115,0.679,8:30,254,-106,Internal
39646.18,39597.38,18.43,24,0.25,35000,1.106,0.509,6:00,178,178,Internal
39664.85,39615.55,17.5,58,0.25,35000,1.892,1.014,8:00,243,-117,Internal
39668.85,39619.41,17.42,50,0.25,35000,3.054,0.907,7:15,219,-141,Internal
40044.41,39985.67,16.87,23,0.25,35000,1.002,0.806,8:00,244,-116,External
40323.41,40257.67,13.77,42,0.25,35000,1.813,0.526,5:45,173,173,Internal
41253.55,41164.59,6.04,19,0.25,35000,1.534,0.941,1:45,57,57,External
42623.33,42557.56,5.13,38,0.25,35000,1.227,0.892,8:45,260,-100,Internal
43511.6,43478.95,5.03,25,0.25,35000,0.557,0.35,8:15,250,-110,External
43695.5,43669.68,5.83,23,0.25,35000,1.114,0.374,10:00,300,-60,Internal
43747.71,43723.86,5.41,24,0.25,35000,0.593,0.861,10:30,318,-42,External
44070.81,44058.94,4.92,19,0.25,35000,1.749,0.827,6:00,177,177,External
44706.44,44718.29,4.65,44,0.25,35000,0.783,1.557,8:45,264,-96,External
44707.04,44718.84,4.65,27,0.25,35000,2.36,2.428,9:30,282,-78,External
45023.3,45037.46,5.9,21,0.25,35000,0.454,0.807,5:15,161,161,External
45259.06,45274.19,4.8,24,0.25,35000,0.913,0.81,3:45,116,116,External
45448.39,45464.33,5.45,31,0.25,35000,0.654,0.656,5:30,164,164,Internal
45525.45,45541.69,4.58,25,0.25,35000,1.492,0.609,5:30,163,163,External
45525.7,45541.89,4.58,22,0.25,35000,2.78,0.909,5:30,163,163,External
45536.09,45552.4,4.71,20,0.25,35000,0.839,1.348,6:30,193,-167,External
45551.67,45568.03,4.31,24,0.25,35000,1.297,0.756,5:30,169,169,External
45554.05,45570.44,4.31,23,0.25,35000,0.82,0.599,5:45,171,171,External
45555.73,45572.14,4.25,21,0.25,35000,0.499,0.455,5:30,167,167,External
45574.11,45590.57,4.61,22,0.25,35000,1.138,2.153,6:00,180,180,External
45584.9,45601.43,4.59,22,0.25,35000,0.489,0.381,6:00,182,-178,External
45585.25,45601.78,4.59,19,0.25,35000,0.551,0.557,5:45,170,170,External
45585.84,45602.37,4.59,20,0.25,35000,0.532,0.466,6:15,191,-169,External
45585.95,45602.45,4.59,19,0.25,35000,1.327,1.367,5:30,166,166,External
45592.58,45609.07,4.92,27,0.25,35000,2.276,1.75,6:30,193,-167,External
45594.03,45610.6,5.16,22,0.25,35000,0.539,0.47,6:15,189,-171,External
46310.98,46330.54,5.45,22,0.25,35000,1.505,1.095,5:15,159,159,External
46352.87,46372.67,5.32,19,0.25,35000,0.327,0.448,6:45,206,-154,External
46816.71,46838.46,6.72,38,0.25,35000,0.606,0.529,4:45,141,141,External
46819.48,46841.25,7.24,31,0.25,35000,0.534,0.542,4:30,139,139,External
46897.05,46919.12,6.93,24,0.25,35000,1.027,0.729,6:00,180,180,Internal
46966.02,46988.38,8.6,25,0.25,35000,1.151,4.739,10:45,326,-34,External
46978.66,47001.11,9,30,0.25,35000,0.458,0.511,5:30,166,166,External
47011.04,47033.61,8.77,55,0.25,35000,0.672,0.659,4:30,139,139,External
47011.51,47034.09,8.77,30,0.25,35000,0.508,0.634,5:30,162,162,External
47015.36,47037.87,8.42,20,0.25,35000,2.554,1.988,6:15,187,-173,External
47018.14,47040.75,8.42,19,0.25,35000,0.514,0.917,4:45,146,146,External
47018.84,47041.45,8.42,25,0.25,35000,0.589,0.467,6:00,182,-178,External
47035.23,47057.9,8.68,22,0.25,35000,0.871,0.851,4:30,138,138,External
47035.35,47058.03,8.68,19,0.25,35000,0.635,0.597,6:30,196,-164,External
47036.66,47059.35,8.68,40,0.25,35000,0.427,1.183,4:30,132,132,External
47156.3,47179.45,9.34,19,0.25,35000,1.589,1.141,5:45,175,175,External
47158.44,47181.62,9.34,28,0.25,35000,0.942,0.692,6:15,192,-168,External
47199.19,47222.56,9.18,29,0.25,35000,0.672,0.534,6:30,198,-162,External
47199.54,47222.93,9.18,21,0.25,35000,0.394,0.526,6:15,191,-169,External
47766.33,47792.11,11.37,21,0.25,35000,0.724,0.804,6:15,187,-173,External
47766.7,47792.42,11.37,33,0.25,35000,2.044,1.068,6:15,185,-175,External
47767.61,47793.39,11.37,24,0.25,35000,0.554,0.617,6:15,187,-173,External
47768.41,47794.2,11.37,20,0.25,35000,0.638,0.833,6:15,189,-171,External
48306.97,48335.04,13.89,21,0.25,35000,0.653,0.727,5:45,172,172,External
48499.21,48527.11,15.28,29,0.25,35000,2.121,0.387,6:15,184,-176,Internal
48555.48,48583.4,14.72,44,0.25,35000,0.828,0.738,4:15,130,130,External
48555.59,48583.51,14.72,26,0.25,35000,0.771,1.086,6:30,197,-163,External
48555.72,48583.66,14.72,22,0.25,35000,0.44,1.055,6:15,190,-170,External
48556.07,48583.99,14.72,30,0.25,35000,0.722,0.836,6:30,194,-166,External
48573.17,48601.09,14.71,19,0.25,35000,0.556,0.507,8:15,248,-112,External
49357.58,49385.01,13.16,21,0.25,35000,0.553,0.509,12:00,2,2,External
49460.52,49487.89,12.94,20,0.25,35000,0.378,0.672,5:15,161,161,External
49461.49,49488.85,12.94,70,0.25,35000,0.642,0.709,4:15,127,127,External
49461.81,49489.17,12.94,33,0.25,35000,0.72,0.509,5:45,173,173,External
49471.61,49498.85,12.37,22,0.25,35000,3.473,2.932,5:00,150,150,External
49471.71,49499.05,12.37,30,0.25,35000,0.904,0.477,4:45,143,143,External
49471.87,49499.22,12.37,21,0.25,35000,0.854,1.405,5:15,155,155,External
49512.34,49539.67,13.92,27,0.25,35000,0.632,0.515,10:45,327,-33,External
49512.49,49539.76,13.92,25,0.25,35000,2.01,1.282,11:15,342,-18,External
49700.11,49727.32,12.95,22,0.25,35000,0.623,0.57,11:45,350,-10,External
49724.58,49751.78,12.94,19,0.25,35000,0.566,0.429,12:15,9,9,External
49746.93,49774.11,13.46,20,0.25,35000,0.654,0.55,11:00,330,-30,External
49857.07,49884.17,14.02,22,0.25,35000,0.966,0.777,1:45,49,49,External
49858.71,49885.83,13.68,19,0.25,35000,0.483,0.416,6:30,198,-162,External
49992.36,50019.39,13.96,19,0.25,35000,0.714,1.072,11:00,329,-31,External
50218.16,50245.05,12.62,28,0.25,35000,0.559,0.53,4:30,136,136,External
50257.07,50283.92,12.89,27,0.25,35000,0.954,0.943,5:15,156,156,External
50257.13,50283.93,12.89,19,0.25,35000,2.096,2.026,7:30,223,-137,External
50270.06,50296.92,13.1,21,0.25,35000,0.664,0.473,10:15,304,-56,External
50351.34,50378.57,12.37,20,0.25,35000,0.803,0.55,5:30,168,168,External
50649.74,50681.66,12.15,23,0.25,35000,0.524,0.82,5:30,167,167,External
50795.11,50829.27,12.26,19,0.25,35000,1.671,0.346,11:00,327,-33,External
50822.54,50857.1,12.36,20,0.25,35000,2.474,0.49,11:15,337,-23,External
51251.92,51293.3,12.19,27,0.25,35000,0.607,0.333,2:30,73,73,Internal
51440.6,51484.91,12.26,21,0.25,35000,1.424,0.731,2:45,82,82,Internal
51463.32,51507.96,12.38,37,0.25,35000,2.003,0.354,3:00,91,91,External
51464.57,51509.2,12.26,26,0.25,35000,2.945,0.49,3:00,91,91,External
52223.91,52280.5,11.22,44,0.25,35000,2.238,0.114,1:00,29,29,External
52578.77,52638.39,11.54,19,0.25,35000,1.104,0.626,12:15,4,4,External
52587.82,52647.32,11.54,22,0.25,35000,0.581,0.395,11:30,348,-12,External
52588.06,52647.54,11.54,36,0.25,35000,0.898,0.503,11:30,346,-14,External
52588.37,52647.86,11.54,30,0.25,35000,0.692,0.565,11:30,347,-13,External
52598.41,52657.74,11.32,24,0.25,35000,0.64,0.731,11:00,330,-30,External
52599.22,52658.54,11.32,24,0.25,35000,0.602,0.551,11:00,332,-28,External
52599.62,52658.94,11.32,30,0.25,35000,0.58,0.665,11:00,330,-30,External
52600.43,52659.74,11.32,21,0.25,35000,0.471,0.423,11:15,334,-26,External
52600.69,52659.98,11.32,24,0.25,35000,0.717,0.643,11:15,335,-25,External
52601.02,52660.31,11.32,37,0.25,35000,0.658,0.652,11:15,336,-24,External
52601.49,52660.77,11.32,40,0.25,35000,0.593,0.686,11:15,336,-24,External
52602.12,52661.37,11.32,30,0.25,35000,1.135,0.956,11:15,335,-25,External
52603.33,52662.58,11.32,23,0.25,35000,0.724,0.619,11:15,335,-25,External
52603.8,52663.04,11.32,20,0.25,35000,0.71,0.737,11:15,336,-24,External
52605.98,52665.2,11.32,24,0.25,35000,0.511,0.564,11:15,339,-21,External
52606.4,52665.61,11.32,21,0.25,35000,0.566,0.522,11:15,340,-20,External
53450.32,53496.05,10.71,22,0.25,35000,0.983,0.891,11:30,345,-15,External
53592.1,53635.58,9.26,25,0.25,35000,0.796,0.665,2:45,86,86,External
54156.79,54191.27,9.4,22,0.25,35000,0.397,0.432,7:00,209,-151,External
54467.87,54497.38,8.75,23,0.25,35000,0.712,0.667,6:30,195,-165,Internal
54481.02,54510.31,8.87,20,0.25,35000,0.955,0.507,9:15,278,-82,External
55187.27,55205.27,7.97,32,0.25,35000,1.566,1.231,3:45,114,114,External
55482.43,55501.6,7.66,27,0.25,35000,0.784,0.767,10:45,326,-34,External
55533.13,55553.53,7.52,21,0.25,35000,0.484,0.576,1:00,33,33,External
55784.04,55810.54,7,20,0.25,35000,0.558,0.409,3:15,97,97,External
56334.44,56374.29,6.68,20,0.25,35000,1.145,0.333,2:00,59,59,External
56509.73,56553.86,8.23,20,0.25,35000,0.539,0.446,4:30,137,137,External
57339.38,57365.13,7.56,26,0.25,35000,2.315,0.346,11:45,349,-11,External
57367.5,57391.7,8.19,28,0.25,35000,0.568,0.402,5:15,156,156,External
57368.49,57392.62,8.19,20,0.25,35000,0.701,0.71,5:15,157,157,External
57369.23,57393.33,8.19,22,0.25,35000,0.501,0.325,4:15,126,126,External
57370.9,57394.84,8.19,27,0.25,35000,1.988,1.802,5:30,166,166,External
57371.61,57395.55,8.19,19,0.25,35000,0.907,0.689,5:15,157,157,External
57371.64,57395.59,8.19,39,0.25,35000,0.744,0.821,4:45,142,142,External
57415.42,57436.85,7.09,20,0.25,35000,0.692,0.557,5:45,171,171,External
57415.78,57437.18,7.09,19,0.25,35000,0.948,0.682,4:45,143,143,External
57416.89,57438.23,7.09,34,0.25,35000,0.702,0.69,4:30,137,137,External
57473.24,57491.28,9.69,30,0.25,35000,1.96,1.382,7:45,237,-123,Internal
57959.44,57949.49,7.78,70,0.25,35000,0.807,0.749,6:00,179,179,External
57960.09,57950.05,7.78,35,0.25,35000,1.993,1.152,5:30,168,168,External
57990.76,57978.98,7.26,35,0.25,35000,1.294,1.31,2:30,78,78,External
57991.68,57979.85,7.7,23,0.25,35000,1.224,2.369,2:45,80,80,External
57994.48,57982.47,7.7,31,0.25,35000,1.762,1.266,4:45,141,141,External
57995.88,57983.78,7.7,24,0.25,35000,1.756,1.299,6:30,193,-167,External
58108.99,58090.4,7.62,21,0.25,35000,1.044,0.753,9:15,281,-79,External
58797.68,58739.37,7.9,20,0.25,35000,1.001,0.795,11:15,336,-24,External
60426.3,60341.83,8.46,27,0.25,35000,1.082,0.687,6:45,199,-161,External
60699.05,60613.23,7.87,19,0.25,35000,1.607,0.348,2:30,73,73,Internal
60915.57,60828.72,7.98,46,0.25,35000,0.662,0.603,5:00,149,149,External
60997.8,60910.56,7.97,25,0.25,35000,0.496,0.446,11:00,331,-29,External
61166.41,61078.31,8.09,29,0.25,35000,1.075,0.692,11:30,344,-16,External
61170.54,61082.44,8.09,22,0.25,35000,0.699,0.769,12:30,17,17,External
61415.1,61325.8,7.69,20,0.25,35000,0.658,0.431,5:15,154,154,External
61464.03,61374.5,7.83,21,0.25,35000,0.539,0.506,2:45,84,84,External
61873.39,61754.68,11.88,28,0.25,35000,0.419,0.503,8:15,248,-112,External
62419.55,62208,8.41,30,0.25,35000,0.734,0.444,3:00,91,91,Internal
62515.8,62287.88,7.85,40,0.25,35000,0.811,0.579,10:15,307,-53,Internal
63304.66,62942.65,8.21,22,0.25,35000,0.85,0.576,9:15,281,-79,Internal
64136.56,63633.14,18.17,29,0.25,35000,0.972,0.666,11:00,330,-30,External
64356.85,63815.96,9.58,26,0.25,35000,1.701,1.598,2:30,76,76,Internal
64630.2,64042.88,8.47,28,0.25,35000,1.003,0.513,4:30,133,133,External
64672.02,64077.59,7.7,19,0.25,35000,0.74,0.527,7:45,234,-126,Internal
65852.31,65057.28,8.39,21,0.25,35000,0.266,0.333,11:15,336,-24,External
65854.45,65058.99,8.53,23,0.25,35000,2.262,1.006,10:45,322,-38,External
65887.23,65086.23,7.8,25,0.25,35000,1.21,0.333,6:30,194,-166,Internal
65900.35,65097.12,7.69,20,0.25,35000,1.453,0.256,6:30,195,-165,External
65910.15,65105.25,7.63,19,0.25,35000,1.591,0.305,6:30,194,-166,External
66486.49,65586.92,6.17,19,0.25,35000,0.775,0.569,5:45,174,174,External
66488.45,65588.81,6.17,20,0.219,52000,0.513,0.492,3:45,115,115,External
66510.83,65610.31,7.77,23,0.25,42000,0.799,1.062,4:15,130,130,External
66516.4,65615.68,8.28,39,0.25,42000,0.56,1.072,2:00,63,63,External
66519.77,65618.89,8.28,37,0.25,42000,1.205,3.257,2:30,72,72,External
66523.02,65622,8.62,21,0.25,42000,1.767,2.858,2:45,84,84,External
66523.32,65622.27,8.62,20,0.25,42000,2.263,0.706,2:45,86,86,External
66524.91,65623.8,8.62,25,0.25,42000,2.291,3.838,2:45,81,81,External
66526.04,65624.91,8.62,21,0.25,42000,1.32,1.354,2:45,83,83,External
66526.94,65625.64,8.62,22,0.25,42000,4.899,3.463,2:45,79,79,External
66527.42,65626.1,8.62,27,0.25,42000,4.936,2.806,2:45,82,82,External
66528.44,65627.25,8.62,21,0.25,42000,0.55,0.508,3:45,111,111,External
66530.99,65629.56,8.28,20,0.25,42000,4.241,3.845,2:45,79,79,External
66531.67,65630.33,8.28,28,0.25,42000,1.261,1.643,2:00,58,58,External
66531.68,65630.35,8.28,20,0.25,42000,0.982,0.862,3:00,91,91,External
66533.57,65632.12,8.28,29,0.25,42000,2.091,3.027,2:45,83,83,External
66553.29,65651.14,7.82,19,0.25,42000,0.793,0.711,4:45,140,140,External
66659.03,65752.81,8.1,24,0.25,42000,0.402,0.603,5:30,164,164,External
66690.74,65783.28,7.95,39,0.25,42000,0.641,0.464,10:30,315,-45,Internal
66696.76,65789.02,8.09,27,0.25,42000,1.835,1.9,6:00,182,-178,External
66697.22,65789.5,8.09,29,0.25,42000,0.91,3.272,5:30,167,167,External
66699.69,65791.82,8.09,27,0.25,42000,2.265,1.261,5:15,156,156,External
66723.78,65815.05,7.71,25,0.25,42000,0.552,0.475,4:45,146,146,External
66726.33,65817.46,7.77,21,0.25,42000,1.486,0.749,5:15,155,155,External
66728.77,65819.85,7.77,19,0.25,42000,0.545,0.468,5:15,158,158,External
66777.57,65866.66,8.19,23,0.25,42000,3.077,3.606,5:30,168,168,External
66777.51,65866.71,8.19,25,0.25,42000,0.513,1.71,4:15,125,125,External
66778.82,65867.96,8.16,22,0.25,42000,0.746,0.604,4:30,135,135,External
66788.98,65877.62,8.03,22,0.25,42000,3.306,2.045,5:30,163,163,External
