joint_no,wheel,dist_US_weld,degrees,INT_EXT,depth,length,width,Dia
39410,109776.02,7.48,93.78,Ext,10,0.978,0.624,22
39410,109778.76,10.2,93.78,Ext,10,0.782,0.96,22
39420,109825.83,17.45,101.2824,Ext,14,2.249,5.064,22
39420,109826.19,17.78,101.2824,Ext,13,2.151,5.064,22
39430,109887.23,38.93,26.2584,Int,12,1.662,1.704,22
39450,109931.6,3.58,120.0384,Int,10,2.249,3.864,22
39450,109959.98,31.92,116.2872,Int,13,0.489,0.672,22
39460,109976.2,8.29,101.2824,Int,13,0.489,0.696,22
39460,109976.47,8.56,101.2824,Int,19,0.587,0.552,22
39540,110268.84,22.34,93.78,Int,10,1.173,9.624,22
39540,110269.18,22.7,86.2776,Int,10,1.173,3.816,22
39600,110509.96,24.32,116.2872,Int,11,1.467,2.184,22
39740,111056.11,12.4,101.2824,Ext,10,1.467,6.024,22
39740,111057.3,13.62,101.2824,Ext,10,1.662,2.04,22
39770,111164.92,1.51,90.0288,Ext,10,1.76,3.144,22
39810,111282.58,39.3,26.2584,Ext,26,0.782,0.744,22
39870,111447.8,5.36,90.0288,Ext,10,2.346,1.68,22
39870,111447.86,5.36,101.2824,Ext,10,0.587,1.536,22
39870,111459.27,16.76,116.2872,Ext,10,0.978,4.344,22
39920,111647.09,5.25,153.7992,Ext,28,0.685,0.552,22
39940,111744.13,22.55,101.2824,Ext,10,0.88,1.368,22
39940,111744.36,22.79,105.0336,Ext,16,0.978,3.144,22
39950,111763.92,2.45,123.7896,Ext,10,1.173,1.32,22
39970,111845.97,4.7,86.2776,Ext,10,0.685,0.576,22
39970,111849.92,8.63,101.2824,Ext,10,1.662,1.488,22
39980,111913.7,32.59,101.2824,Ext,10,4.888,9.384,22
40010,112014.4,13.77,93.78,Ext,14,8.114,8.184,22
40030,112099.16,18.47,93.78,Ext,15,1.076,0.696,22
40030,112099.3,18.6,101.2824,Ext,10,0.88,0.744,22
40030,112099.68,18.97,108.7848,Ext,10,1.173,0.84,22
40030,112099.76,19.1,131.292,Ext,12,2.053,4.776,22
40030,112099.79,19.11,90.0288,Ext,10,1.173,1.608,22
40030,112100.32,19.57,116.2872,Ext,10,1.271,1.056,22
40030,112100.38,19.7,105.0336,Ext,10,1.076,1.608,22
40030,112100.46,19.76,131.292,Ext,10,0.782,0.864,22
40030,112100.53,19.82,127.5408,Ext,10,1.076,0.792,22
40050,112162.4,1.95,97.5312,Ext,19,0.782,3.864,22
40070,112263.69,23.44,93.78,Ext,15,2.346,3.384,22
40070,112264.05,23.85,93.78,Ext,10,0.685,0.912,22
40130,112506.67,28.58,101.2824,Ext,10,1.173,3.624,22
40160,112600.94,3.11,86.2776,Ext,10,2.053,2.448,22
40180,112682.37,4.75,97.5312,Ext,13,0.587,0.72,22
40180,112682.78,5.16,97.5312,Ext,10,1.076,1.08,22
40200,112795.11,37.59,90.0288,Ext,12,1.076,3.144,22
40210,112836.4,39.04,11.2536,Ext,10,1.173,1.08,22
40220,112838.08,0.86,168.804,Ext,10,1.076,1.2,22
40220,112851.76,14.53,146.2968,Ext,22,0.489,0.504,22
40220,112872.06,34.88,90.0288,Ext,23,2.64,4.08,22
40220,112872.39,35.16,86.2776,Ext,10,0.88,1.704,22
40260,113028.87,32.1,82.5264,Ext,13,1.271,1.584,22
40320,113239.03,2.77,127.5408,Ext,10,0.978,1.296,22
40370,113466.34,30.38,93.78,Ext,10,1.955,4.584,22
40400,113585.16,29.46,165.0528,Int,10,0.587,0.912,22
40740,114219.33,3.22,45.0144,Ext,11,1.408,1.467,24
40740,114221.85,5.75,123.7896,Ext,14,1.525,1.048,24
40750,114226.25,4.25,146.2968,Ext,10,0.978,1.44,24
40760,114235.21,0.16,142.5456,Ext,11,0.978,0.917,24
40760,114236.18,1.12,90.0288,Ext,10,0.978,1.388,24
40760,114236.86,1.81,63.7704,Ext,20,0.782,0.864,24
40780,114292.44,26.91,11.2536,Ext,10,1.173,1.022,24
40790,114343.96,38.68,3.7512,Ext,12,0.782,1.44,24
40800,114367.76,22.51,7.5024,Ext,21,1.076,0.812,24
40800,114370.58,25.33,3.7512,Ext,12,0.685,0.864,24
40810,114397.86,12.7,3.7512,Ext,10,0.489,0.864,24
40810,114398.15,12.98,3.7512,Ext,10,0.978,1.152,24
40810,114400.99,15.81,3.7512,Ext,11,1.173,0.864,24
40820,114432.69,7.64,3.7512,Ext,20,0.978,1.048,24
40830,114481.81,16.91,180.0576,Ext,14,1.467,0.655,24
41110,115575.53,12.42,75.024,Ext,13,1.564,8.142,24
41110,115575.63,12.53,120.0384,Ext,20,0.978,4.477,24
42260,119982.21,7.08,78.7752,Ext,12,0.685,0.524,24
42920,122602.67,21.45,18.756,Ext,16,0.782,0.655,24
43020,123005.96,32.67,101.2824,Ext,16,0.978,0.55,24
43060,123167.13,34.21,123.7896,Ext,10,1.662,7.881,24
43150,123467.02,35.69,153.7992,Int,12,0.88,0.864,24
43290,123946.4,18.85,101.2824,Ext,10,1.662,3.43,24
43500,124698.85,4.21,97.5312,Ext,10,0.978,1.257,24
43500,124701.6,6.99,90.0288,Ext,10,0.978,1.597,24
43500,124702.33,7.65,67.5216,Ext,10,2.053,2.906,24
43500,124702.61,8.01,67.5216,Ext,20,1.467,4.451,24
43500,124702.9,8.3,97.5312,Ext,17,0.88,2.383,24
43500,124703.32,8.72,67.5216,Ext,19,1.955,5.001,24
43500,124704.86,10.23,90.0288,Ext,10,1.173,6.467,24
43500,124705.22,10.6,101.2824,Ext,10,1.076,1.755,24
43510,124737.35,2.88,120.0384,Ext,11,1.467,6.31,24
43570,124993.52,19.66,82.5264,Ext,10,1.076,2.461,24
43570,124993.55,19.71,108.7848,Ext,14,1.76,6.833,24
43670,125381.96,32.82,108.7848,Ext,10,0.978,2.278,24
43670,125383.05,33.93,78.7752,Ext,10,1.858,8.928,24
43670,125383.06,33.94,108.7848,Ext,10,1.955,2.749,24
44430,128212.18,16.23,11.2536,Ext,19,0.782,0.76,24
44430,128233.56,37.58,11.2536,Ext,32,1.564,0.812,24
44880,129954.25,26.16,82.5264,Ext,10,2.346,2.671,24
44960,130254.72,8.92,52.5168,Int,22,0.685,1.309,24
45050,130638.86,35.73,93.78,Ext,12,0.88,0.681,24
45170,131067.54,5.69,150.048,Int,10,1.076,2.461,24
45400,132007.13,29.34,93.78,Ext,10,0.587,1.152,24
45720,132956.51,10.92,97.5312,Ext,22,0.489,0.681,24
45960,133874.94,26.38,71.2728,Ext,13,1.955,7.671,24
45970,133919.27,30.75,97.5312,Ext,13,0.978,1.388,24
46130,134558.2,33.73,101.2824,Ext,15,1.076,0.891,24
46700,136586.15,0.23,18.756,Ext,17,0.978,1.1,24
47070,138070.34,32.4,90.0288,Ext,10,0.88,0.917,24
47070,138070.55,32.6,90.0288,Ext,20,0.978,3.954,24
47240,138690.03,33.72,97.5312,Ext,14,0.782,0.786,24
47320,138982.13,6.37,101.2824,Ext,20,2.737,2.121,24
47320,138982.46,6.78,97.5312,Ext,33,3.128,6.833,24
47320,138983.01,7.35,101.2824,Ext,17,2.249,3.43,24
47320,138983.25,7.49,78.7752,Ext,35,2.346,6.048,24
47330,139044.53,28.87,97.5312,Ext,20,1.369,1.885,24
47330,139044.78,29.08,97.5312,Ext,28,2.053,2.331,24
47420,139362.93,0.51,101.2824,Ext,10,1.271,1.179,24
47770,140732.35,12.39,108.7848,Ext,20,2.835,4.477,24
47840,141030.62,31.1,33.7608,Ext,12,0.782,1.074,24
47840,141033.23,33.73,93.78,Ext,19,1.955,3.456,24
47840,141033.55,34.02,93.78,Ext,10,3.128,5.001,24
47850,141045.6,6.5,97.5312,Ext,20,10.655,14.164,24
47850,141046.7,7.2,56.268,Ext,14,1.467,1.702,24
47850,141047.53,8.05,60.0192,Ext,10,1.271,1.755,24
47850,141059.75,20.25,150.048,Ext,13,3.617,3.927,24
47870,141139.72,20.55,97.5312,Ext,10,1.076,1.65,24
47910,141245.14,6.35,67.5216,Ext,10,0.88,1.728,24
47910,141249,10.21,90.0288,Ext,10,1.271,0.524,24
47910,141261.02,22.25,101.2824,Ext,18,0.587,0.864,24
47910,141262.93,24.15,105.0336,Ext,10,0.489,0.891,24
47910,141265.52,26.73,93.78,Ext,19,0.587,0.681,24
47910,141265.75,26.96,97.5312,Ext,24,0.391,0.786,24
47910,141265.86,27.08,97.5312,Ext,32,0.587,0.629,24
47910,141265.91,27.13,101.2824,Ext,12,0.782,0.864,24
47920,141305.48,26.82,112.536,Ext,23,0.88,1.074,24
47920,141305.86,27.22,112.536,Ext,14,0.489,0.969,24
47920,141307.4,28.75,101.2824,Ext,20,0.685,0.55,24
47920,141311.19,32.53,93.78,Ext,10,0.782,0.995,24
47920,141314.23,35.57,93.78,Ext,22,0.587,0.838,24
47960,141384.09,5,7.5024,Ext,16,0.685,0.707,24
47960,141384.44,5.36,7.5024,Ext,18,0.782,0.838,24
47960,141384.78,5.69,7.5024,Ext,22,0.782,1.624,24
47990,141398.66,4.59,7.5024,Ext,10,1.056,1.008,22
47990,141398.7,4.63,15.0048,Ext,15,0.88,0.432,22
47990,141398.89,4.84,7.5024,Ext,10,1.232,0.984,22
47990,141399.26,5.19,7.5024,Ext,13,1.76,1.464,22
48030,141541.59,36.55,180.0576,Ext,17,2.19,1.152,22
48070,141688.4,24.04,180.0576,Ext,10,0.958,0.6,22
48180,142127.38,25.48,90.0288,Ext,15,0.939,0.696,22
48430,143023.01,1.95,112.536,Ext,10,0.939,1.056,22
48570,143577.78,39.54,90.0288,Ext,17,2.835,6.48,22
48580,143578.05,0.13,90.0288,Ext,10,0.685,1.008,22
48780,144395.04,26.19,41.2632,Int,28,0.685,0.624,22
48800,144488.27,39.74,112.536,Ext,38,0.587,0.96,22
48910,144848.02,1.82,161.3016,Ext,19,1.564,0.96,22
49390,146749.6,6.48,101.2824,Int,24,0.587,0.624,22
49580,147492.18,3.72,180.0576,Int,10,1.271,1.248,22
49580,147493.63,5.21,7.5024,Int,10,1.173,1.056,22
49580,147493.67,5.24,180.0576,Int,19,1.271,0.984,22
49880,148599.54,6.96,86.2776,Ext,10,0.685,0.936,22
49880,148606.95,14.37,90.0288,Int,10,0.587,0.384,22
49890,148662.52,30.13,18.756,Ext,13,0.587,0.816,22
49930,148804.59,14.22,93.78,Int,15,0.782,0.672,22
50050,149293.86,25.89,90.0288,Int,13,0.587,0.624,22
50240,150036.54,16.85,3.7512,Ext,14,1.858,3.144,22
50290,150218.95,0.66,52.5168,Int,10,0.978,2.28,22
50290,150219.75,1.49,37.512,Int,10,1.271,2.76,22
50580,151395.79,22.35,131.292,Ext,10,0.978,1.896,22
50910,152688.94,1.02,97.5312,Ext,10,0.978,1.056,22
50910,152689.08,1.16,97.5312,Ext,10,0.685,0.96,22
50910,152698.27,10.35,93.78,Ext,10,0.685,0.888,22
50920,152731.34,3.64,93.78,Ext,10,0.685,0.96,22
50920,152733.41,5.71,97.5312,Ext,22,1.076,1.464,22
50920,152765.97,38.28,93.78,Ext,10,1.467,0.816,22
50930,152770.55,3.04,97.5312,Ext,17,0.587,0.36,22
50930,152771.13,3.62,93.78,Ext,29,0.978,0.744,22
50940,152812.7,5.42,116.2872,Ext,10,0.782,0.528,22
50960,152910.77,23.81,180.0576,Ext,21,0.782,0.72,22
50960,152915.35,28.4,26.2584,Ext,10,0.685,1.08,22
50960,152922.69,35.73,86.2776,Ext,10,1.271,3.144,22
50960,152922.76,35.81,101.2824,Ext,10,0.782,0.912,22
50960,152922.97,36.02,86.2776,Ext,10,1.271,1.152,22
50960,152926.09,39.13,105.0336,Ext,11,0.978,3.864,22
50970,152928.06,1.26,86.2776,Ext,10,0.489,1.032,22
51120,153522.76,1.6,161.3016,Ext,10,1.076,1.464,22
51150,153659.22,18.48,60.0192,Ext,15,0.587,0.672,22
51320,154322.53,7.24,18.756,Ext,10,0.88,1.536,22
51570,155342.98,34.71,78.7752,Ext,17,0.822,0.984,22
51710,155874.61,19.92,15.0048,Int,13,0.685,0.96,22
51900,156607.83,1.85,180.0576,Int,14,1.564,0.96,22
52010,157079.99,36.05,63.7704,Int,10,1.662,2.064,22
52030,157124.73,1.11,93.78,Ext,14,2.053,1.2,22
52090,157367.19,7.9,180.0576,Ext,10,0.587,0.744,22
52090,157367.2,7.91,26.2584,Ext,16,0.587,1.56,22
52090,157371.79,12.49,26.2584,Ext,10,0.685,0.936,22
52160,157597.88,0.1,93.78,Ext,13,1.369,1.248,22
52300,158183,28.15,71.2728,Ext,13,0.782,0.84,22
52550,159177.22,33.84,120.0384,Int,10,1.271,1.344,22
52800,160166.19,32.59,78.7752,Ext,10,2.053,2.976,22
52800,160167.79,34.19,78.7752,Ext,10,0.978,0.864,22
52800,160168.34,34.76,78.7752,Ext,10,0.88,0.72,22
52800,160168.65,35.08,78.7752,Ext,10,1.271,1.848,22
52800,160169.56,35.98,75.024,Ext,10,0.978,0.672,22
52800,160169.97,36.46,75.024,Ext,15,2.346,1.704,22
52800,160170.4,36.8,75.024,Ext,10,0.782,0.84,22
52800,160170.51,36.94,75.024,Ext,10,1.173,0.504,22
52800,160172.5,38.93,75.024,Ext,10,1.291,1.56,22
52800,160172.73,39.15,78.7752,Ext,10,1.408,1.824,22
52880,160454.43,2.25,75.024,Int,10,1.858,2.04,22
52970,160829.49,19.01,97.5312,Ext,10,0.587,1.368,22
52970,160834.44,23.96,97.5312,Ext,10,1.467,1.728,22
52970,160840.27,29.81,90.0288,Ext,10,0.782,0.96,22
52970,160846.35,35.87,90.0288,Ext,12,0.685,0.792,22
52970,160848.25,37.78,97.5312,Ext,10,0.587,1.128,22
52970,160848.61,38.14,93.78,Ext,10,0.685,0.96,22
52970,160848.7,38.22,97.5312,Ext,10,0.88,1.152,22
52980,160850.9,0.67,97.5312,Ext,10,0.88,1.272,22
52980,160880.92,30.69,97.5312,Ext,10,0.685,0.984,22
52980,160889.47,39.22,93.78,Ext,11,0.782,0.768,22
52990,160890.13,0.14,105.0336,Ext,15,2.346,4.128,22
52990,160890.38,0.37,112.536,Ext,10,0.685,0.96,22
53010,160960.63,1.17,101.2824,Ext,10,1.076,0.936,22
53100,161321.68,23.96,82.5264,Int,11,1.271,0.576,22
53150,161474.79,14.48,112.536,Ext,10,0.587,0.624,22
53360,162297.08,4.11,41.2632,Ext,10,0.782,0.696,22
53400,162482.53,33.67,176.3064,Ext,15,1.76,1.608,22
53690,163626.69,26.42,60.0192,Int,26,0.587,0.696,22
53920,164513.32,6.44,90.0288,Ext,10,0.978,0.936,22
53940,164587.17,0.69,86.2776,Ext,10,1.173,1.704,22
53940,164615.14,28.67,180.0576,Ext,10,0.978,0.84,22
53950,164629.1,2.83,180.0576,Ext,13,1.271,2.664,22
53980,164666.65,0.64,97.5312,Ext,15,1.173,2.448,22
53980,164666.82,0.8,7.5024,Ext,10,0.88,0.408,22
53980,164667.25,1.17,180.0576,Ext,12,2.249,1.704,22
53980,164690.02,24.01,172.5552,Ext,10,1.173,0.648,22
53980,164699.73,33.68,3.7512,Ext,15,1.955,1.944,22
53980,164700.18,34.16,180.0576,Ext,10,1.076,0.864,22
53980,164700.71,34.7,3.7512,Ext,10,0.88,0.552,22
54010,164753.05,7.45,7.5024,Ext,10,0.88,0.696,22
54010,164758.38,12.78,3.7512,Ext,10,0.88,0.48,22
54010,164759.15,13.49,3.7512,Ext,10,2.346,0.792,22
54010,164768,22.39,3.7512,Ext,10,0.782,0.816,22
54010,164779.01,33.39,180.0576,Ext,10,1.056,0.456,22
54040,164824.13,7.88,161.3016,Int,12,1.271,1.152,22
54230,165061.65,0.21,97.5312,Ext,12,1.506,0.984,22
54260,165106.63,7.13,82.5264,Ext,17,0.685,0.6,22
54420,165638.96,29.32,60.0192,Ext,10,0.685,0.96,22
54730,166860.24,20.4,90.0288,Ext,13,0.685,1.008,22
54730,166864.36,24.48,97.5312,Ext,12,1.173,0.6,22
54740,166879.86,0.24,97.5312,Ext,31,0.822,0.744,22
54740,166884.25,4.63,93.78,Ext,10,0.704,0.84,22
54740,166887.08,7.45,168.804,Ext,10,1.173,0.96,22
54770,167030.61,31.61,22.5072,Int,19,0.782,0.72,22
54870,167342.38,25.3,11.2536,Int,15,0.587,0.624,22
54870,167356.63,39.55,93.78,Ext,24,0.489,0.504,22
54900,167463.8,27.45,97.5312,Ext,10,0.88,0.936,22
54910,167491.06,20.05,93.78,Ext,10,0.685,0.672,22
54910,167510.66,39.65,112.536,Ext,16,1.291,0.984,22
54920,167511.5,0.61,108.7848,Ext,20,0.47,1.152,22
55020,167902.94,0.72,101.2824,Ext,17,0.782,0.792,22
55020,167903.1,0.86,90.0288,Ext,10,0.685,1.392,22
55060,168089.6,28.39,90.0288,Ext,14,0.587,0.768,22
55060,168089.81,28.61,93.78,Ext,10,0.587,0.768,22
55060,168090.57,29.39,90.0288,Ext,19,0.822,0.504,22
55060,168094.63,33.44,105.0336,Ext,14,0.822,1.272,22
55070,168106.32,5.3,90.0288,Ext,14,0.685,0.792,22
55070,168122.03,21.01,93.78,Ext,10,0.822,1.128,22
55080,168180.17,39.39,86.2776,Ext,10,0.782,1.416,22
55170,168537.01,38.39,26.2584,Ext,19,0.685,0.672,22
55180,168538.86,0.55,101.2824,Ext,12,1.955,3.864,22
55180,168548.27,9.95,90.0288,Ext,20,0.587,0.504,22
55210,168665.97,8.28,180.0576,Ext,15,0.47,0.744,22
55210,168695.72,38.02,150.048,Ext,16,1.271,0.696,22
55300,169016.28,1.44,93.78,Ext,10,1.467,1.176,22
55320,169129.73,37.14,97.5312,Ext,12,0.88,1.296,22
55370,169294.35,2.92,3.7512,Ext,12,0.587,1.032,22
55390,169406.56,35.61,101.2824,Ext,14,0.587,0.696,22
55450,169637.16,32.67,165.0528,Ext,10,0.822,0.72,22
55470,169686.89,2.9,105.0336,Ext,10,0.88,0.84,22
55480,169724.02,0.29,82.5264,Ext,18,0.782,0.528,22
55480,169724.33,0.6,82.5264,Ext,24,1.271,1.704,22
55490,169770.81,7.39,7.5024,Ext,25,0.782,0.768,22
55540,169987.41,25.15,93.78,Ext,10,1.076,1.32,22
55610,170237.97,39.51,93.78,Ext,13,1.408,1.44,22
55620,170261.32,23.12,165.0528,Ext,20,0.822,0.6,22
55620,170261.75,23.53,165.0528,Ext,15,1.056,0.912,22
55670,170398.27,0.76,97.5312,Ext,16,1.271,0.792,22
55670,170399.05,1.52,97.5312,Ext,13,0.587,0.96,22
55670,170413.13,15.62,101.2824,Ext,14,0.704,0.432,22
55670,170429.7,32.19,97.5312,Ext,17,0.587,0.504,22
55680,170444.45,7.24,97.5312,Ext,13,1.564,0.792,22
55680,170447.07,9.9,90.0288,Ext,16,0.978,0.96,22
55680,170451.29,14.09,105.0336,Ext,15,1.173,1.08,22
55680,170457.96,20.75,101.2824,Ext,13,1.173,0.792,22
55680,170458.38,21.21,101.2824,Ext,15,1.271,0.792,22
55680,170460.38,23.18,101.2824,Ext,17,0.88,0.624,22
55680,170468,30.8,86.2776,Ext,10,0.685,0.456,22
55680,170468.76,31.58,101.2824,Ext,10,0.978,2.184,22
55680,170470.28,33.06,101.2824,Ext,11,1.056,0.6,22
55680,170474.59,37.4,86.2776,Ext,10,0.822,0.648,22
55680,170475.43,38.24,101.2824,Ext,15,1.056,1.008,22
55680,170476.44,39.2,86.2776,Ext,22,1.995,7.464,22
55690,170478.94,2.04,93.78,Ext,22,1.173,0.744,22
55690,170482.12,5.2,101.2824,Ext,10,1.525,1.944,22
55690,170482.52,5.63,101.2824,Ext,19,1.173,4.584,22
55690,170485.13,8.15,86.2776,Ext,15,2.698,1.728,22
55690,170486.35,9.34,93.78,Ext,15,2.933,3.864,22
55690,170490.58,13.68,105.0336,Ext,10,1.056,0.96,22
55690,170491.02,14.12,97.5312,Ext,17,0.822,0.768,22
55690,170515.24,38.33,97.5312,Ext,10,1.291,1.296,22
55700,170526.26,9.42,97.5312,Ext,10,0.782,0.96,22
55700,170531.75,14.93,93.78,Ext,10,1.076,0.984,22
55710,170587.73,31.11,97.5312,Ext,11,1.056,0.96,22
55710,170588.5,31.9,97.5312,Ext,10,0.939,0.792,22
55720,170598.88,2.48,97.5312,Ext,15,0.939,1.176,22
55720,170600.87,4.45,90.0288,Ext,17,0.822,1.152,22
55730,170636.26,0.05,108.7848,Ext,20,0.822,1.008,22
55730,170654.38,18.18,120.0384,Ext,10,0.704,0.672,22
55730,170663.18,26.97,135.0432,Int,20,0.822,1.464,22
55740,170713.29,37.43,180.0576,Ext,10,1.291,0.624,22
55790,170891.33,16.5,90.0288,Ext,15,1.076,3.624,22
55790,170896.94,22.11,97.5312,Ext,18,0.587,0.936,22
55800,170947.7,33.1,90.0288,Ext,12,1.076,1.344,22
55810,170981.74,31.96,90.0288,Ext,10,1.173,1.2,22
55830,171029.91,0.63,90.0288,Ext,12,0.704,0.768,22
55830,171066.17,36.88,105.0336,Ext,16,0.939,0.672,22
55840,171101.09,31.99,93.78,Ext,15,0.822,0.912,22
55890,171276.02,8.18,105.0336,Ext,14,0.822,0.912,22
55890,171305.55,37.68,93.78,Ext,10,1.173,0.888,22
55890,171306.07,38.23,82.5264,Ext,10,0.939,1.032,22
55900,171309.35,1.57,86.2776,Ext,10,0.939,1.344,22
55900,171309.5,1.74,86.2776,Ext,10,0.822,0.792,22
55900,171310.9,3.14,101.2824,Ext,13,1.173,1.2,22
55900,171311.44,3.68,86.2776,Ext,20,0.704,0.72,22
55900,171321.64,13.87,82.5264,Ext,26,0.88,0.72,22
55900,171342.86,35.11,86.2776,Ext,12,0.978,0.48,22
55900,171344.79,37.02,90.0288,Ext,10,0.685,0.648,22
55900,171344.92,37.15,101.2824,Ext,15,0.978,1.152,22
55900,171345.61,37.84,90.0288,Ext,20,0.685,0.696,22
55910,171348.45,1.06,86.2776,Ext,25,0.685,0.504,22
55910,171348.89,1.5,93.78,Ext,15,0.489,0.96,22
55910,171354.92,7.57,97.5312,Ext,25,2.249,3.624,22
55910,171355.66,8.27,93.78,Ext,16,0.685,1.056,22
55910,171355.77,8.36,131.292,Ext,10,2.053,3.144,22
55910,171357.32,9.9,82.5264,Ext,18,1.564,2.16,22
55910,171361.27,13.84,86.2776,Ext,29,1.877,3.144,22
55910,171382.85,35.41,86.2776,Ext,26,1.858,4.128,22
55910,171383.81,36.43,105.0336,Ext,25,0.782,1.944,22
55920,171391.23,3.99,90.0288,Ext,11,0.587,0.864,22
55920,171391.3,4.06,97.5312,Ext,10,0.88,1.104,22
55930,171428.29,1.24,75.024,Ext,10,0.587,0.408,22
55930,171441.63,14.57,90.0288,Ext,26,0.782,0.552,22
55930,171454.54,27.5,93.78,Ext,10,0.685,0.696,22
55940,171499.32,32.48,97.5312,Ext,10,0.685,0.768,22
55940,171506.44,39.61,93.78,Ext,21,0.88,0.936,22
55960,171562.53,37.47,90.0288,Ext,10,1.076,0.768,22
55960,171564.02,38.93,90.0288,Ext,15,1.271,1.944,22
55970,171586.18,21.38,97.5312,Ext,15,0.489,0.624,22
55990,171644.96,0.65,97.5312,Ext,16,0.704,0.48,22
56000,171694.11,10.05,108.7848,Ext,17,0.978,0.912,22
56000,171702.47,18.42,93.78,Ext,19,1.369,2.184,22
56120,172175.57,14.55,97.5312,Ext,10,0.978,0.936,22
56120,172177.61,16.59,86.2776,Ext,10,0.685,0.648,22
56130,172238.38,37.59,86.2776,Ext,10,0.489,1.152,22
56140,172243.11,2.53,86.2776,Ext,10,0.782,0.864,22
56140,172246.01,5.43,90.0288,Ext,35,0.782,0.744,22
56140,172259.61,19.08,90.0288,Ext,23,2.053,1.416,22
56140,172259.97,19.35,90.0288,Ext,10,1.271,2.184,22
56140,172265.61,24.99,86.2776,Ext,12,2.444,1.464,22
56140,172268.43,27.83,108.7848,Ext,20,1.564,2.688,22
56150,172285.07,4.65,93.78,Ext,13,0.782,0.984,22
56160,172342.49,22.32,93.78,Ext,16,0.88,0.888,22
56170,172370.25,10.23,90.0288,Ext,20,0.822,0.96,22
56170,172383.5,23.5,78.7752,Ext,29,1.525,2.904,22
56170,172389.42,29.4,105.0336,Ext,10,0.88,0.768,22
56170,172399.18,39.16,97.5312,Ext,27,0.685,0.504,22
56190,172441.48,1.89,101.2824,Ext,10,1.271,0.6,22
56200,172479.58,0.16,90.0288,Ext,15,0.782,1.728,22
56200,172503.69,24.28,112.536,Ext,16,0.704,1.296,22
56210,172529.13,9.86,97.5312,Ext,13,1.076,1.944,22
56210,172532.69,13.44,22.5072,Int,10,1.173,2.376,22
56230,172622.71,23.95,101.2824,Ext,10,1.076,0.648,22
56250,172711.61,33.21,93.78,Ext,10,0.88,1.944,22
56250,172712.58,34.17,82.5264,Ext,10,0.88,0.408,22
56260,172742.37,24.13,101.2824,Ext,19,2.151,2.664,22
56260,172747.76,29.56,71.2728,Ext,13,0.782,1.056,22
56260,172756.85,38.66,90.0288,Ext,19,0.587,1.248,22
56260,172756.98,38.77,93.78,Ext,10,0.489,0.936,22
56270,172758.53,0.57,86.2776,Ext,10,0.685,1.152,22
56270,172758.75,0.79,90.0288,Ext,15,2.64,2.664,22
56270,172797.62,39.67,7.5024,Ext,14,1.271,2.664,22
56280,172797.83,0.17,90.0288,Ext,18,1.662,2.16,22
56280,172799.47,1.8,90.0288,Ext,15,1.173,1.944,22
56280,172814.95,17.24,82.5264,Ext,23,0.587,0.576,22
56280,172824.39,26.68,75.024,Ext,15,1.076,1.08,22
56290,172875.2,37.72,86.2776,Ext,15,0.685,1.104,22
56310,172919.96,2.94,90.0288,Ext,14,0.587,0.888,22
56310,172955.98,38.94,97.5312,Ext,10,0.782,0.864,22
56310,172956.06,39.02,101.2824,Ext,10,1.076,0.672,22
56320,172957.57,0.78,90.0288,Ext,13,0.685,0.744,22
56320,172958.55,1.78,90.0288,Ext,10,0.685,1.2,22
56320,172958.68,1.89,90.0288,Ext,10,0.489,0.936,22
56320,172959.01,2.22,90.0288,Ext,10,0.489,0.96,22
56320,172960.1,3.32,97.5312,Ext,10,0.88,0.936,22
56320,172991.07,34.29,93.78,Ext,10,1.271,0.672,22
56320,172994.53,37.73,93.78,Ext,10,0.685,1.056,22
56320,172994.77,37.97,86.2776,Ext,21,0.685,0.576,22
56320,172996.27,39.42,93.78,Ext,10,2.249,3.384,22
56320,172996.38,39.6,93.78,Ext,15,0.685,0.744,22
56330,173034.54,37.93,90.0288,Ext,16,0.587,0.816,22
56340,173038.74,2.51,93.78,Ext,10,1.076,0.72,22
56340,173043.83,7.59,108.7848,Ext,22,0.88,0.864,22
56340,173072.02,35.76,108.7848,Ext,10,0.88,0.72,22
56340,173075.78,39.52,105.0336,Ext,30,0.978,1.704,22
56350,173108.3,32.33,97.5312,Ext,10,0.704,1.176,22
56360,173117.82,2,82.5264,Int,10,1.76,3.624,22
56400,173284.87,9.99,112.536,Ext,10,0.391,0.744,22
56400,173314.37,39.5,93.78,Ext,15,0.587,1.008,22
56410,173315.28,0.64,101.2824,Ext,10,1.076,2.904,22
56410,173317.03,2.4,97.5312,Ext,19,0.88,0.528,22
56410,173317.11,2.47,86.2776,Ext,12,0.88,1.896,22
56410,173317.82,3.22,97.5312,Ext,10,0.88,0.624,22
56410,173331.49,16.85,90.0288,Ext,17,0.587,1.344,22
56430,173396.44,2.37,112.536,Ext,18,0.978,0.504,22
56430,173430.75,36.68,97.5312,Ext,12,0.782,0.912,22
56430,173431.33,37.28,97.5312,Ext,10,1.173,0.768,22
56440,173467.79,33.96,82.5264,Ext,10,0.489,1.704,22
56440,173467.92,34.08,101.2824,Ext,15,0.782,0.696,22
56440,173468.77,34.92,97.5312,Ext,10,1.271,0.936,22
56450,173474.14,0.5,97.5312,Ext,14,0.939,1.344,22
56450,173476.28,2.64,93.78,Ext,16,1.134,0.912,22
56450,173476.38,2.7,101.2824,Ext,10,2.288,1.32,22
