joint_no,wheel,dist_US_weld,degrees,INT_EXT,depth,length,width,Dia
3840,14142.34,26.68,63.7704,Ext,10,0.978,1.944,22
3840,14142.56,26.92,75.024,Ext,10,1.173,1.368,22
3840,14142.64,26.99,82.5264,Ext,12,0.978,1.008,22
3840,14143.65,28,71.2728,Ext,10,0.88,1.584,22
3840,14143.91,28.27,71.2728,Ext,10,1.467,3.624,22
3890,14339.38,27,75.024,Ext,11,1.173,0.984,22
3970,14627.7,0.6,93.78,Ext,12,0.88,0.96,22
3970,14644.59,17.5,3.7512,Ext,15,0.587,0.552,22
3970,14649.18,22.08,3.7512,Ext,10,0.587,0.912,22
4030,14892.48,26.91,41.2632,Ext,10,0.88,0.984,22
4030,14905.27,39.7,30.0096,Ext,13,0.587,1.296,22
4040,14925.55,20.25,93.78,Ext,10,0.782,0.768,22
4130,15291.43,28.48,161.3016,Ext,10,0.587,0.768,22
4230,15598.9,34.03,7.5024,Int,15,0.88,0.768,22
4590,17015.26,22.32,105.0336,Ext,12,1.076,1.296,22
4670,17329.02,18.12,93.78,Ext,23,4.301,7.272,22
4670,17330.85,20.01,93.78,Ext,16,1.662,0.96,22
4690,17396.24,5.9,63.7704,Int,16,0.489,0.48,22
4710,17494.39,24.64,116.2872,Ext,10,1.271,2.544,22
4710,17498.3,28.5,120.0384,Ext,10,2.835,18.983,22
4770,17668.99,18.7,101.2824,Ext,13,0.782,2.424,22
4790,17742.3,12.59,90.0288,Ext,16,1.271,1.008,22
4810,17818.49,20.85,90.0288,Ext,12,3.422,6.984,22
4820,17875.88,38.47,97.5312,Ext,11,1.662,0.984,22
4850,17958.68,2.06,123.7896,Ext,17,0.782,0.504,22
4900,18193.22,37.98,116.2872,Ext,19,0.978,2.184,22
4990,18488.02,8.43,105.0336,Ext,10,0.88,2.472,22
4990,18488.23,8.66,105.0336,Ext,10,1.271,4.824,22
4990,18490.8,11.24,90.0288,Ext,13,2.151,6.48,22
4990,18491.11,11.56,97.5312,Ext,14,2.053,3.144,22
4990,18494.42,14.85,82.5264,Ext,11,1.564,5.544,22
4990,18494.77,15.17,97.5312,Ext,11,1.76,12.792,22
4990,18494.99,15.4,101.2824,Ext,15,1.369,10.584,22
5020,18594.99,3.83,86.2776,Ext,10,1.369,4.824,22
5020,18596.38,5.2,75.024,Ext,11,1.173,6.504,22
5180,19224.1,3.2,93.78,Ext,10,1.271,2.088,22
5180,19226.36,5.47,108.7848,Ext,13,1.467,4.584,22
5300,19649.21,33.61,45.0144,Ext,10,2.053,1.704,22
5390,19995.69,23.88,176.3064,Ext,18,1.877,1.944,22
5390,20000.26,28.47,176.3064,Ext,10,0.822,1.08,22
5400,20023.37,11.88,93.78,Ext,10,1.076,0.936,22
5400,20025.3,13.81,93.78,Ext,12,0.978,0.888,22
5400,20026.12,14.62,97.5312,Ext,15,1.076,0.576,22
5400,20026.69,15.2,93.78,Ext,35,1.369,2.904,22
5400,20027.78,16.29,97.5312,Ext,30,1.369,3.864,22
5400,20029.25,17.75,101.2824,Ext,10,1.271,4.368,22
5480,20346.68,28.33,93.78,Ext,10,0.685,0.576,22
5540,20524.04,21.42,93.78,Ext,10,0.587,0.336,22
5550,20543.92,1.54,93.78,Ext,10,1.173,1.392,22
5570,20622.8,0.84,93.78,Ext,21,0.587,0.672,22
